,index,subid,lure_or_no,is_high_arm,accuracy,dprime_lt_high,dprime_lt_low,dprime_lbst_high,dprime_lbst_low
0,0,A10T0161B70BXP,lure,False,0.875,0.0,1.8248391305720892,0.2929318159056193,0.6744897501960817
1,1,A10T0161B70BXP,lure,True,0.75,0.0,1.8248391305720892,0.2929318159056193,0.6744897501960817
2,2,A10T0161B70BXP,lure_but_seen,False,0.5,0.0,1.8248391305720892,0.2929318159056193,0.6744897501960817
3,3,A10T0161B70BXP,lure_but_seen,True,0.8333333333333334,0.0,1.8248391305720892,0.2929318159056193,0.6744897501960817
4,4,A10T0161B70BXP,target,False,0.75,0.0,1.8248391305720892,0.2929318159056193,0.6744897501960817
5,5,A10T0161B70BXP,target,True,0.25,0.0,1.8248391305720892,0.2929318159056193,0.6744897501960817
6,6,A11S8IAAVDXCUS,lure,False,0.875,0.8596307941564646,1.150349380376008,-0.2437624509006242,0.0
7,7,A11S8IAAVDXCUS,lure,True,0.9375,0.8596307941564646,1.150349380376008,-0.2437624509006242,0.0
8,8,A11S8IAAVDXCUS,lure_but_seen,False,0.5,0.8596307941564646,1.150349380376008,-0.2437624509006242,0.0
9,9,A11S8IAAVDXCUS,lure_but_seen,True,0.6666666666666666,0.8596307941564646,1.150349380376008,-0.2437624509006242,0.0
10,10,A11S8IAAVDXCUS,target,False,0.5,0.8596307941564646,1.150349380376008,-0.2437624509006242,0.0
11,11,A11S8IAAVDXCUS,target,True,0.25,0.8596307941564646,1.150349380376008,-0.2437624509006242,0.0
12,12,A11YS0T8MV3Q7C,lure,False,0.75,0.6372787279287503,1.3489795003921634,1.286060930066076,0.2437624509006239
13,13,A11YS0T8MV3Q7C,lure,True,0.625,0.6372787279287503,1.3489795003921634,1.286060930066076,0.2437624509006239
14,14,A11YS0T8MV3Q7C,lure_but_seen,False,0.3333333333333333,0.6372787279287503,1.3489795003921634,1.286060930066076,0.2437624509006239
15,15,A11YS0T8MV3Q7C,lure_but_seen,True,0.8333333333333334,0.6372787279287503,1.3489795003921634,1.286060930066076,0.2437624509006239
16,16,A11YS0T8MV3Q7C,target,False,0.75,0.6372787279287503,1.3489795003921634,1.286060930066076,0.2437624509006239
17,17,A11YS0T8MV3Q7C,target,True,0.625,0.6372787279287503,1.3489795003921634,1.286060930066076,0.2437624509006239
18,18,A12FTSX85NQ8N9,lure,False,0.625,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
19,19,A12FTSX85NQ8N9,lure,True,0.75,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
20,20,A12FTSX85NQ8N9,lure_but_seen,False,0.6666666666666666,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
21,21,A12FTSX85NQ8N9,lure_but_seen,True,0.8333333333333334,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
22,22,A12FTSX85NQ8N9,target,False,0.375,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
23,23,A12FTSX85NQ8N9,target,True,0.75,1.3489795003921634,0.0,1.6419113162977828,0.1120879353310823
24,24,A12HWPFXQPITHD,lure,False,0.625,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
25,25,A12HWPFXQPITHD,lure,True,0.625,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
26,26,A12HWPFXQPITHD,lure_but_seen,False,0.6666666666666666,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
27,27,A12HWPFXQPITHD,lure_but_seen,True,0.9166666666666666,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
28,28,A12HWPFXQPITHD,target,False,0.875,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
29,29,A12HWPFXQPITHD,target,True,0.875,1.468988744340383,1.468988744340383,2.533343507476646,1.5810766796714653
30,30,A14LASEXBQ8C5W,lure,False,0.875,2.208610294548628,2.300698760752016,-0.2929318159056193,-0.2326447467246302
31,31,A14LASEXBQ8C5W,lure,True,0.9375,2.208610294548628,2.300698760752016,-0.2929318159056193,-0.2326447467246302
32,32,A14LASEXBQ8C5W,lure_but_seen,False,0.0833333333333333,2.208610294548628,2.300698760752016,-0.2929318159056193,-0.2326447467246302
33,33,A14LASEXBQ8C5W,lure_but_seen,True,0.1666666666666666,2.208610294548628,2.300698760752016,-0.2929318159056193,-0.2326447467246302
34,34,A14LASEXBQ8C5W,target,False,0.875,2.208610294548628,2.300698760752016,-0.2929318159056193,-0.2326447467246302
35,35,A14LASEXBQ8C5W,target,True,0.75,2.208610294548628,2.300698760752016,-0.2929318159056193,-0.2326447467246302
42,42,A15CL9A9FVSJDW,lure,False,0.875,2.684469924728554,2.684469924728554,1.964847843648004,2.9171146714531844
43,43,A15CL9A9FVSJDW,lure,True,0.875,2.684469924728554,2.684469924728554,1.964847843648004,2.9171146714531844
44,44,A15CL9A9FVSJDW,lure_but_seen,False,0.9166666666666666,2.684469924728554,2.684469924728554,1.964847843648004,2.9171146714531844
45,45,A15CL9A9FVSJDW,lure_but_seen,True,0.6666666666666666,2.684469924728554,2.684469924728554,1.964847843648004,2.9171146714531844
46,46,A15CL9A9FVSJDW,target,False,0.9375,2.684469924728554,2.684469924728554,1.964847843648004,2.9171146714531844
47,47,A15CL9A9FVSJDW,target,True,0.9375,2.684469924728554,2.684469924728554,1.964847843648004,2.9171146714531844
48,48,A16E38HXNQBLCU,lure,False,0.875,0.8596307941564646,2.300698760752016,1.964847843648004,2.117770946477709
49,49,A16E38HXNQBLCU,lure,True,0.25,0.8596307941564646,2.300698760752016,1.964847843648004,2.117770946477709
