,subid,state1_coef,l_coef,o_coef,high_arm
0,AYDILOZLKOAS8,-9.261627906976743,0.8154069767441849,1.1279069767441852,inside
1,A3EA4SHCLJ1UZQ,9.19767441860466,-7.361918604651162,0.8255813953488342,outside
2,A28T38MOUG43YD,3.665697674418607,1.927325581395344,0.9481589147286832,inside
4,A2G7N0X0PNX0EE,3.744186046511601,75.00145348837206,71.64728682170539,inside
5,A1G5EPLJEGL381,-15.869186046511633,4.998546511627908,5.415213178294573,outside
6,A38I0E8UK53ME5,-1.2441860465116277,-3.251453488372092,-0.8139534883720927,outside
7,A1P47Q6LZPLQ6P,-16.27325581395352,31.693313953488342,75.047480620155,outside
8,A2C8CPT60DE5V8,7.735465116279069,4.472383720930231,1.2223837209302315,outside
9,A19FWZXTGX663T,-4.232558139534882,-1.8793604651162772,-1.0251937984496124,outside
10,A1GC6CN3F0IHWN,20.078488372093023,43.88662790697674,0.1991279069767557,inside
11,A26ULCPI7UC9R0,-0.3720930232558161,9.21802325581395,8.71802325581395,outside
12,A2EH7IQCDH2Q5D,-3.7122093023255904,0.7093023255813926,4.31346899224806,outside
13,A1M21S1FNT817B,-4.781976744186047,-11.898255813953488,-7.669089147286821,outside
14,A3JGVZEXXELM3C,4.837209302325581,3.915697674418603,1.4156976744186038,outside
15,A3CIPN7E1VL4G1,-2.9244186046511635,1.3561046511627888,3.4602713178294566,inside
16,A3191G66DZEGEB,7.165697674418603,5.614825581395347,-2.468507751937984,inside
17,A3VFA6HNMEXO9L,5.965116279069767,-0.7412790697674403,-3.3662790697674407,inside
18,A2KRFL7H6AA8FZ,42.35174418604651,-3.369186046511629,2.651647286821704,inside
19,A3W1CKM4PBLRC0,-1.2122093023255822,5.209302325581394,-0.5198643410852712,outside
20,A2ZDEERVRN5AMC,96.65988372093024,99.55377906976742,22.13711240310077,outside
21,A30CGO77OY7WP0,0.9273255813953504,5.361918604651164,7.73691860465116,inside
22,A16E38HXNQBLCU,49.45930232558138,78.57267441860465,40.86434108527133,inside
23,A2NMLTECRDWFN2,3.2790697674418667,-2.1947674418604617,-9.111434108527128,outside
24,A3BU69EKYL6SH3,4.933139534883698,58.797965116279016,65.29796511627903,outside
25,A2DLYBXZNSSJ4S,-17.91860465116279,-5.957848837209295,5.812984496124027,outside
26,A1W7I6FN183I8F,18.17151162790698,5.175872093023253,-1.657461240310078,outside
27,AB8BRFF4ZTZ40,-11.412790697674415,55.7281976744186,45.33236434108526,outside
28,A30RTQC0LLY19K,-11.659883720930235,-1.6162790697674438,-3.470445736434111,outside
29,A3DDTGMRDXR9NR,-15.418604651162797,28.854651162790688,39.39631782945736,inside
30,A15CL9A9FVSJDW,66.06104651162794,-1.171511627906968,-3.817344961240304,outside
31,A1M1E62KXCDNL0,-0.8197674418604964,40.07994186046509,52.80910852713176,inside
32,A7GT7BIC7ERWE,-6.779069767441862,-4.2427325581395365,-0.2218992248062021,outside
33,A2L2E6J3D23CN4,4.78779069767442,-2.165697674418607,1.5218023255813995,inside
34,AWAHIWLMQ0HUQ,-2.270348837209317,53.47383720930233,51.45300387596899,outside
35,A31A1PVXLJBISZ,-4.500000000000001,-1.9375000000000009,0.1666666666666654,outside
36,A2KQ1VCW1B8QJP,35.27325581395348,43.43168604651161,32.4108527131783,outside
37,A3HW4QDJB63OQ2,-9.159883720930234,0.8837209302325597,-2.7204457364341077,inside
38,A24BN4WKUH4LR2,4.59593023255814,-0.867732558139537,4.423934108527128,outside
39,A36P1ZQ0GYF567,74.37209302325581,21.21947674418604,-14.009689922480607,outside
40,A2R6UQCQ8T3RZE,39.00290697674417,44.71802325581392,25.530523255813936,inside
41,A1PVL74S10WYD7,3.6017441860465103,8.005813953488373,0.3183139534883725,inside
42,AQ0YWEW29GSIJ,90.14244186046513,6.870639534883713,-6.629360465116276,outside
43,A39CG6GXC2ZJXB,8.973837209302326,29.037790697674414,14.100290697674414,outside
44,AERUGBNS48Z4N,2.188953488372092,-1.0784883720930196,-7.182655038759688,outside
45,A19YM9K2W233IM,63.69476744186049,45.10755813953489,-15.954941860465112,inside
46,A2JXPT39AWRES7,-2.447674418604653,6.799418604651163,4.174418604651163,outside
47,A37PUSY6CJ7TQ0,-5.17151162790698,12.761627906976733,6.532461240310073,outside
48,A3USP1ZP069KCK,-3.1831395348837224,-2.610465116279068,2.9520348837209287,outside
49,AVCOBHDVXZOZL,-0.3401162790697681,-0.8837209302325568,0.2621124031007739,outside
50,A2RVFMCKSSEHDV,-14.680232558139544,10.35755813953487,8.065891472868206,outside
51,A27W025UEXS1G0,-5.1046511627907,2.6511627906976707,-5.76550387596899,outside
52,A1F2N0IPSNJF3R,0.93313953488372,3.2979651162790717,6.006298449612403,inside
53,A1Q56N80RJLQ7S,-5.540697674418607,3.88517441860465,-0.2189922480620141,outside
54,AJFIMLAWP65TE,35.47674418604652,1.193313953488372,-0.8691860465116292,outside
55,A2WNTI69VVVWMZ,-5.014534883720928,23.47238372093024,-2.444282945736429,inside
57,A5D0231X0XJNV,0.4418604651162818,-7.985465116279068,0.5562015503875974,outside
58,A1LLAP0EV74WMS,1.395348837209307,-2.6613372093023235,-3.390503875968991,outside
59,A33XAJW8WGY3O9,0.3953488372093027,-2.4113372093023235,-2.348837209302325,outside
60,A2MW5S0XS0D5MN,6.331395348837211,-2.145348837209301,-1.3953488372093,outside
61,AVN1RGGP00USR,8.633720930232558,4.779069767441859,-4.720930232558139,outside
62,A2D6VL5XE0O4D3,-8.27325581395349,-6.556686046511628,10.547480620155037,outside
63,AEWGY34WUIA32,4.561046511627898,17.703488372093016,4.557655038759686,inside
64,A3TT7QV49VCZJ9,-13.11337209302327,16.059593023255808,26.22625968992248,outside
65,A36T7N6CT9GUCG,-3.941860465116283,2.1104651162790624,23.90213178294573,inside
66,A25W2HZYMZVCM1,14.468023255813954,-16.39825581395349,0.8309108527131741,inside
67,AUFUUD4WG9CVO,-5.49418604651163,8.248546511627907,77.51937984496124,inside
68,A14LASEXBQ8C5W,-14.20639534883722,19.582848837209298,12.457848837209292,outside
69,ATKNH6OR2G11O,8.758720930232538,91.90406976744184,67.71656976744183,inside
70,A16Y5JEB1EF9CY,-6.380813953488374,6.313953488372089,-8.206879844961238,outside
71,AFKB7F09OVKV7,-10.197674418604652,3.2369186046511618,0.3410852713178318,inside
72,A3TDA1NWHNQFE3,-3.8866279069767455,17.69040697674418,-7.976259689922477,inside
73,A2HRUFTA09371Y,36.24127906976744,7.72093023255813,-6.383236434108524,outside
74,A2WPKP73S4MBLK,5.470930232558129,71.06976744186042,77.90310077519379,outside
75,A3KFFIBJZVM0J2,25.805232558139533,9.642441860465109,-13.128391472868207,inside
76,A3EZEVKRB0VRNM,9.055232558139531,9.954941860465118,6.246608527131787,inside
77,A1IMO5XR05U7S5,-7.319767441860474,12.954941860465112,10.684108527131784,outside
78,A3D2U4QF7821ZW,0.1744186046511641,-10.418604651162788,1.248062015503871,inside
79,AKFOCQ8TQZDDG,30.395348837209283,71.71366279069764,48.65116279069768,outside
80,A1BE3Y8ZDZ31BP,8.162790697674419,4.959302325581392,5.500968992248061,outside
81,A12FTSX85NQ8N9,-0.1308139534883725,-2.1235465116279078,2.66812015503876,inside
82,A2MS1GQLGAX9FZ,32.127906976744185,23.780523255813947,-10.115310077519371,inside
83,AOMFEAWQHU3D8,-7.959302325581397,2.552325581395352,-12.364341085271317,outside
84,A11S8IAAVDXCUS,-0.5145348837209299,-1.9026162790697672,-0.2776162790697674,outside
85,A5HEKO0GZ3GD9,-1.4738372093023255,4.462209302325579,7.191375968992248,inside
86,ARYL3C6N9SVV1,18.17441860465116,1.5813953488372086,4.623062015503874,inside
87,A2GXE6MIDN8DPR,-2.409883720930236,0.5087209302325633,25.44622093023255,inside
88,A3RHJEMZ4EGY2U,-2.8866279069767518,12.752906976744192,58.56540697674417,outside
89,A2XGVGSG5WR173,8.101744186046512,6.443313953488371,-5.931686046511629,inside
90,A3P5P5LGJGB6HD,4.677325581395352,-6.575581395348837,-3.804748062015504,outside
91,A2U1OCHJOOLVMB,2.6046511627906974,4.411337209302325,1.9321705426356628,inside
92,AAURS65ZO4SXC,107.35465116279066,-0.2761627906976844,5.390503875968991,inside
93,A1VAL7L9L79IN0,64.97965116279072,91.34883720930232,6.661337209302317,outside
94,A2NA6X1SON3KFH,39.75581395348839,8.936046511627902,-1.5639534883720936,inside
95,AGILQEFEPEK7N,5.851744186046464,64.19331395348831,66.609980620155,outside
96,APGX2WZ59OWDN,9.293604651162791,26.77034883720928,52.79118217054261,inside
97,A2HZSG2OHU7O8P,-18.537790697674414,-6.459302325581392,-10.271802325581396,outside
98,AZXSVMAA87U61,12.203488372093023,-6.675872093023251,13.761627906976742,inside
99,A1WS9UHL45VZ0X,24.36627906976744,-10.841569767441854,41.05426356589146,inside
100,A5BMKZRGHNSRT,37.54941860465117,31.26889534883721,-1.31443798449612,inside
101,A12HWPFXQPITHD,23.27616279069767,-24.725290697674403,48.10804263565889,inside
102,A2EGOCAO0VL2S8,10.47674418604651,1.5058139534883723,9.089147286821705,inside
103,A25OK203N0QYH2,-2.0523255813953494,1.8255813953488371,-2.1327519379844944,outside
104,A2H2DJL45BZBD,6.409883720930238,-3.6337209302325553,-7.071220930232557,outside
105,A3NHBXYOMMJ2W6,-8.546511627906975,1.5116279069767438,-1.655038759689922,outside
106,A3A7O8IJMBLF5J,-5.883720930232561,-1.2790697674418623,5.804263565891472,inside
107,A2RBVMD2HTBCZ9,11.811046511627907,-1.2965116279069748,-0.2756782945736431,inside
108,A3US4NGKXBVI48,2.055232558139535,5.767441860465112,6.496608527131774,outside
109,A36GU3OHGLDS8R,-6.3430232558139545,-3.66424418604651,-8.56007751937984,inside
110,A1EN3FW93BSXQQ,9.078488372093014,32.01162790697672,24.19912790697673,outside
111,A3DUL880Y08G95,-11.723837209302324,7.024709302325581,-11.141957364341076,outside
112,A1Z3NTRGIUZ240,16.889534883720927,7.590116279069763,6.923449612403095,inside
113,A5CIHEPULDFUF,8.33720930232558,2.2906976744186007,9.4156976744186,outside
114,A5K108EWACHK5,-13.747093023255829,-27.90697674418604,-8.927810077519386,outside
115,A3NKZMF7M4X0ZP,-2.0523255813953485,-0.3619186046511626,-2.382751937984496,outside
116,A1QMJNJ5FGC09,8.875,2.375000000000002,-2.77083333333333,inside
117,A2OO4PG3LBLP5I,-1.9389534883720956,-6.546511627906975,-0.0673449612403125,inside
118,A36NTNEXBNBIOD,34.933139534883736,0.2354651162790724,-1.243701550387594,inside
119,A25R6M1SRCDIYF,-4.834302325581401,2.6148255813953405,21.73982558139534,outside
120,A38GFVEBNQNSUJ,4.46511627906977,6.321220930232554,1.3003875968992231,inside
121,A11YS0T8MV3Q7C,2.8488372093023258,-3.0872093023255798,3.829457364341084,outside
122,AB60ITQGDVHF0,-6.168604651162793,12.979651162790695,8.104651162790702,outside
123,A1N1ULK71RHVMM,28.869186046511626,-9.8110465116279,9.41812015503876,outside
124,A6WYBPPG8Y2Q4,1.95058139534884,-0.8938953488372068,-6.22722868217054,inside
125,A3BJ95HQQ28GTE,-9.10755813953488,0.1206395348837219,-5.629360465116277,outside
126,A2UISTPVTDPOOG,-7.630813953488373,3.9389534883720914,-2.1652131782945725,outside
127,ALCPF5NANBDSZ,6.322674418604657,1.5755813953488378,3.888081395348836,inside
128,A1F6MWP9A0XLJQ,-1.1860465116279142,21.42151162790697,16.92151162790697,inside
129,A5C2W2YA7OHF8,-3.305232558139535,-0.2674418604651163,-3.1216085271317824,outside
130,A10T0161B70BXP,-10.24418604651163,-12.688953488372086,-11.897286821705428,outside
131,A2FYFCD16Z3PCC,-2.5,2.125,-0.5000000000000022,inside
132,A1NKBIJQGT0712,-5.531976744186045,-6.460755813953487,-2.710755813953487,outside
133,A2BPXWBO2OSJRP,-25.05813953488373,-6.6104651162790695,-15.693798449612402,outside
134,AKP66RIZ3LQVX,0.7296511627906966,41.72383720930232,22.703003875969,inside
135,AZ2P6DGG5M6SH,14.302325581395351,22.98691860465116,-26.575581395348827,outside
136,AZ69TBTDH7AZS,3.502906976744187,-4.969476744186045,3.738856589147286,inside
137,A2866TYG0D96LM,2.779069767441857,22.36773255813953,0.8052325581395365,outside
138,A3JN9PHM83VP1V,-27.23255813953488,-0.4418604651162818,2.099806201550388,outside
139,A17K1CHOI773VZ,2.084302325581396,11.947674418604644,-9.781492248062008,inside
140,A3GEYEPOHA33SP,4.401162790697671,-11.03779069767442,-2.53779069767442,inside
141,A2FCQ5K0T1PYHS,2.0116279069767447,2.684593023255813,-3.836240310077521,inside
142,A39C22RIL0YJ4D,-3.401162790697672,-4.649709302325581,5.454457364341084,outside
143,A17KN7NAP48L4B,8.816860465116273,9.702034883720916,21.452034883720923,outside
144,A2VGFS03KCCR1Q,3.694767441860465,-1.329941860465116,5.336724806201548,inside
145,ASNMT3I94HZ44,1.180232558139534,-1.2950581395348846,3.8924418604651154,inside
146,A80X2FTFDSR19,41.58720930232559,1.665697674418607,-6.417635658914726,outside
147,A3TFUZL0VQ2WI6,6.69186046511628,6.514534883720929,0.9728682170542626,outside
148,ARB8SJAWXUWTD,20.14825581395348,34.61918604651161,33.431686046511615,inside
149,A17TKHT8FEVH0R,-0.9767441860465158,-14.13081395348838,6.660852713178281,outside
150,A2R9OK4M877ZCC,15.909883720930235,0.616279069767443,-5.071220930232558,outside
151,A252P9NJHP5QOZ,37.11627906976746,-0.0915697674418627,6.637596899224802,inside
152,A28U7B76HLCS1U,9.20058139534884,9.293604651162788,3.439437984496121,outside
153,A1CUDX7TTS2W61,0.9709302325581372,-3.180232558139536,9.694767441860462,inside
154,AYEEKFSGE2CCO,-0.4767441860465108,4.056686046511628,0.6191860465116275,outside
155,A3JI3B5GTVA95F,31.200581395348788,77.60610465116275,69.23110465116277,outside
156,A2E0LU8V4EUX5C,-3.200581395348837,0.8938953488372108,-3.0644379844961214,inside
157,AXKTYKCT9NGHS,40.604651162790695,11.47383720930232,-0.2344961240310095,inside
158,A2HXUTHYA5C1E0,5.66860465116279,4.0828488372093,1.1453488372093013,inside
159,A353XKDTUX10NC,36.59593023255815,10.382267441860462,-0.1593992248062008,outside
160,A2CEGS0NVDBCPT,5.944767441860463,3.7950581395348832,4.795058139534884,outside
161,A3CGQOJC28OVGN,-7.901162790697688,23.7877906976744,16.121124031007742,outside
162,A1BSVEBYDZ0AAU,8.854651162790676,60.7863372093023,51.307170542635646,outside
