,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
1,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,2.0
2,3.0,1.0,5,1.0,0.4444444444444444,2,1,1,1,435,5.0
3,3.0,1.0,1,1.0,0.0,2,1,1,1,435,5.0
4,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
5,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,6.0
6,3.0,1.0,1,1.0,0.0,2,1,1,1,435,5.0
7,2.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,4.0
8,3.0,2.0,1,2.0,0.0,2,1,1,1,435,6.0
9,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
10,2.0,2.0,5,2.0,0.0,2,1,1,1,435,4.0
11,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,1.0
12,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,7.0
13,4.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,435,8.0
14,4.0,2.0,1,2.0,0.0,2,1,1,1,435,8.0
15,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
16,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,3.0
17,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,7.0
18,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
19,1.0,1.0,5,1.0,0.0,2,1,1,1,435,1.0
20,2.0,2.0,1,2.0,0.0,2,1,1,1,435,4.0
21,4.0,2.0,1,2.0,0.5555555555555556,2,1,1,1,435,8.0
22,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,2.0
23,3.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,6.0
24,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,2.0
25,1.0,2.0,5,2.0,0.4444444444444444,2,1,1,1,435,2.0
26,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
27,4.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,435,8.0
28,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
29,4.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,8.0
30,4.0,2.0,5,2.0,0.5555555555555556,2,1,1,1,435,8.0
31,1.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,2.0
32,4.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,435,7.0
33,1.0,1.0,5,1.0,0.0,2,1,1,1,435,1.0
34,3.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,435,6.0
35,1.0,2.0,5,2.0,0.0,2,1,1,1,435,2.0
36,4.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,8.0
37,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,6.0
38,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,8.0
39,4.0,2.0,1,2.0,0.0,2,1,1,1,435,8.0
40,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
41,1.0,2.0,5,2.0,0.0,2,1,1,1,435,2.0
42,4.0,2.0,1,2.0,0.0,2,1,1,1,435,8.0
43,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
44,1.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,1.0
45,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
46,1.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,2.0
47,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,5.0
48,2.0,1.0,5,1.0,0.4444444444444444,2,1,1,1,435,3.0
49,3.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,5.0
50,2.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,435,3.0
51,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,7.0
52,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,5.0
53,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
54,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
55,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,5.0
56,1.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,435,1.0
57,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,3.0
58,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,3.0
59,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
60,3.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,5.0
61,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
62,3.0,1.0,1,1.0,0.0,2,1,1,1,435,5.0
63,3.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,6.0
64,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,8.0
65,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,6.0
66,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
67,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
68,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,6.0
69,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
70,1.0,2.0,5,2.0,0.7777777777777778,2,1,1,1,435,2.0
71,4.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,8.0
72,2.0,2.0,5,2.0,0.0,2,1,1,1,435,4.0
73,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,6.0
74,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,8.0
75,2.0,2.0,5,2.0,0.0,2,1,1,1,435,4.0
76,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
77,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
78,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,6.0
79,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,8.0
80,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,8.0
81,4.0,1.0,5,1.0,0.0,2,1,1,1,435,7.0
82,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,6.0
83,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,2.0
84,3.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,435,5.0
85,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
86,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
87,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
88,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,6.0
89,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,5.0
90,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
91,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
92,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
93,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
94,3.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,435,5.0
95,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,1.0
96,2.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,435,3.0
97,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,5.0
98,3.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,435,5.0
99,3.0,1.0,5,1.0,0.0,2,1,1,1,435,5.0
100,1.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,1.0
101,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
102,2.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,435,3.0
103,4.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,435,7.0
104,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
105,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,5.0
106,2.0,1.0,1,1.0,0.0,2,1,1,1,435,3.0
107,2.0,2.0,5,2.0,0.0,2,1,1,1,435,4.0
108,3.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,6.0
109,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,2.0
110,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,8.0
111,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,8.0
112,3.0,1.0,5,1.0,0.0,2,1,1,1,435,5.0
113,1.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,2.0
114,2.0,2.0,1,2.0,0.0,2,1,1,1,435,4.0
115,1.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,435,2.0
116,4.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,8.0
117,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
118,1.0,2.0,1,2.0,0.0,2,1,1,1,435,2.0
119,3.0,2.0,5,2.0,0.0,2,1,1,1,435,6.0
120,1.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,2.0
121,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
122,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,5.0
123,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
124,2.0,1.0,1,1.0,0.0,2,1,1,1,435,3.0
125,4.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,8.0
126,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
127,4.0,2.0,1,2.0,0.0,2,1,1,1,435,8.0
128,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,8.0
129,4.0,2.0,1,2.0,0.0,2,1,1,1,435,8.0
130,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,8.0
131,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,2.0
132,2.0,2.0,5,2.0,0.0,2,1,1,1,435,4.0
133,1.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,2.0
134,3.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,6.0
135,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
136,3.0,2.0,1,2.0,0.0,2,1,1,1,435,6.0
137,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
138,4.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,435,7.0
139,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,435,7.0
140,3.0,1.0,1,1.0,0.5555555555555556,2,1,1,1,435,5.0
141,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,3.0
142,1.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,435,1.0
143,2.0,1.0,5,1.0,0.0,2,1,1,1,435,3.0
144,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,3.0
145,3.0,1.0,5,1.0,0.0,2,1,1,1,435,5.0
146,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,5.0
147,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,435,6.0
148,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,6.0
149,3.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,6.0
150,2.0,2.0,1,2.0,0.0,2,1,1,1,435,4.0
151,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,435,1.0
152,1.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,435,1.0
153,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,435,7.0
154,2.0,1.0,5,1.0,0.0,2,1,1,1,435,3.0
155,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
156,2.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,4.0
157,2.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,435,4.0
158,3.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,6.0
159,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,435,8.0
160,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,4.0
161,1.0,2.0,1,2.0,0.0,2,1,1,1,435,2.0
162,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,2.0
163,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
164,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,435,4.0
165,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,435,6.0
166,3.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,435,6.0
