,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,6.0
1,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,8.0
2,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,325,4.0
3,4.0,1.0,1,1.0,0.0,2,1,1,1,325,7.0
4,4.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,325,7.0
5,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,325,2.0
6,3.0,2.0,1,2.0,0.0,2,1,1,1,325,6.0
7,4.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,325,8.0
8,4.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,325,7.0
9,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,325,3.0
10,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,325,7.0
11,3.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,325,5.0
12,4.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,325,8.0
13,3.0,2.0,5,2.0,0.5555555555555556,2,1,1,1,325,6.0
14,1.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,2.0
15,3.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,325,6.0
16,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,325,1.0
17,4.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,325,7.0
18,2.0,2.0,5,2.0,0.0,2,1,1,1,325,4.0
19,3.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,325,5.0
20,3.0,1.0,1,1.0,0.0,2,1,1,1,325,5.0
21,4.0,1.0,1,1.0,0.0,2,1,1,1,325,7.0
22,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,325,2.0
23,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,325,4.0
24,2.0,1.0,5,1.0,0.7777777777777778,2,1,1,1,325,3.0
25,1.0,1.0,5,1.0,0.4444444444444444,2,1,1,1,325,1.0
26,4.0,1.0,1,1.0,0.0,2,1,1,1,325,7.0
27,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,8.0
28,1.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,325,1.0
29,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,325,4.0
30,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,8.0
31,1.0,1.0,5,1.0,0.0,2,1,1,1,325,1.0
32,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,325,2.0
33,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,325,8.0
34,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,325,7.0
35,2.0,2.0,5,2.0,0.0,2,1,1,1,325,4.0
36,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,325,7.0
37,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,325,5.0
38,2.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,325,4.0
39,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,325,8.0
40,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,325,2.0
41,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,325,5.0
42,4.0,1.0,1,1.0,0.6666666666666666,2,1,1,1,325,7.0
43,2.0,1.0,5,1.0,0.0,2,1,1,1,325,3.0
44,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,8.0
45,3.0,1.0,1,1.0,0.5555555555555556,2,1,1,1,325,5.0
46,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,325,5.0
47,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,325,3.0
48,4.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,325,8.0
49,4.0,1.0,1,1.0,0.0,2,1,1,1,325,7.0
50,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,325,7.0
