,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,2.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,166,3.0
1,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,166,5.0
2,4.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,166,7.0
3,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,166,5.0
4,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,166,3.0
5,4.0,1.0,5,1.0,0.3333333333333333,1,1,1,1,166,7.0
6,4.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,166,7.0
7,3.0,1.0,5,1.0,0.0,1,1,1,1,166,5.0
8,3.0,2.0,5,2.0,0.0,1,1,1,1,166,6.0
9,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,166,1.0
10,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,166,3.0
11,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,166,4.0
12,1.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,166,2.0
13,1.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,166,1.0
14,3.0,2.0,5,2.0,0.0,1,1,1,1,166,6.0
15,2.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,166,3.0
16,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,166,3.0
17,3.0,2.0,5,2.0,0.0,1,1,1,1,166,6.0
18,3.0,2.0,5,2.0,0.0,1,1,1,1,166,6.0
19,3.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,166,6.0
20,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,166,4.0
21,4.0,1.0,5,1.0,0.4444444444444444,1,1,1,1,166,7.0
22,4.0,1.0,5,1.0,0.4444444444444444,1,1,1,1,166,7.0
23,1.0,1.0,5,1.0,0.3333333333333333,1,1,1,1,166,1.0
24,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,166,5.0
25,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,166,7.0
26,4.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,166,7.0
27,1.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,166,1.0
28,3.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,166,6.0
29,2.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,166,4.0
