,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,5.0
1,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
2,2.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,328,4.0
3,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
4,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
5,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,8.0
6,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
7,4.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,328,8.0
8,4.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,8.0
9,1.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,328,1.0
10,3.0,1.0,5,1.0,0.4444444444444444,1,1,1,1,328,5.0
11,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,5.0
12,4.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,8.0
13,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
14,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
15,2.0,2.0,1,2.0,0.0,1,1,1,1,328,4.0
16,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,8.0
17,3.0,1.0,5,1.0,0.0,1,1,1,1,328,5.0
18,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
19,1.0,1.0,1,1.0,0.0,1,1,1,1,328,1.0
20,3.0,2.0,5,2.0,0.0,1,1,1,1,328,6.0
21,2.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,3.0
22,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,3.0
23,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,6.0
24,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,8.0
25,2.0,1.0,1,1.0,0.0,1,1,1,1,328,3.0
26,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,6.0
27,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
28,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,8.0
29,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
30,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,2.0
31,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,6.0
32,1.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,2.0
33,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,8.0
34,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,8.0
35,2.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,328,4.0
36,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,2.0
37,3.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,6.0
38,1.0,2.0,1,2.0,0.0,1,1,1,1,328,2.0
39,2.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,328,4.0
40,1.0,2.0,5,2.0,0.0,1,1,1,1,328,2.0
41,2.0,2.0,5,2.0,0.0,1,1,1,1,328,4.0
42,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,2.0
43,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
44,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,8.0
45,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,4.0
46,1.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,328,2.0
47,4.0,2.0,5,2.0,0.0,1,1,1,1,328,8.0
48,2.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,328,3.0
49,1.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,328,2.0
50,1.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,328,2.0
51,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,6.0
52,1.0,2.0,1,2.0,0.0,1,1,1,1,328,2.0
53,3.0,2.0,1,2.0,0.0,1,1,1,1,328,6.0
54,4.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,7.0
55,3.0,1.0,5,1.0,0.4444444444444444,1,1,1,1,328,5.0
56,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,3.0
57,2.0,1.0,1,1.0,0.0,1,1,1,1,328,3.0
58,2.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,4.0
59,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,5.0
60,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
61,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,4.0
62,1.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,328,1.0
63,3.0,1.0,5,1.0,0.0,1,1,1,1,328,5.0
64,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
65,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,4.0
66,3.0,1.0,5,1.0,0.0,1,1,1,1,328,5.0
67,3.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,5.0
68,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,3.0
69,3.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,5.0
70,2.0,1.0,5,1.0,0.0,1,1,1,1,328,3.0
71,1.0,1.0,1,1.0,0.5555555555555556,1,1,1,1,328,1.0
72,2.0,2.0,1,2.0,0.0,1,1,1,1,328,4.0
73,4.0,1.0,5,1.0,0.3333333333333333,1,1,1,1,328,7.0
74,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,7.0
75,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,1.0
76,3.0,1.0,5,1.0,0.3333333333333333,1,1,1,1,328,5.0
77,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,7.0
78,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,328,5.0
79,1.0,1.0,1,1.0,0.0,1,1,1,1,328,1.0
80,3.0,1.0,5,1.0,0.4444444444444444,1,1,1,1,328,5.0
81,3.0,1.0,5,1.0,0.0,1,1,1,1,328,5.0
82,1.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,328,2.0
83,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,328,5.0
84,3.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,328,5.0
85,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,3.0
86,3.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,328,5.0
87,1.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,2.0
88,2.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,328,3.0
89,2.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,328,3.0
90,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
91,4.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,328,7.0
92,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,328,2.0
93,4.0,1.0,5,1.0,0.0,1,1,1,1,328,7.0
94,4.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,328,8.0
95,3.0,1.0,1,1.0,0.4444444444444444,1,1,1,1,328,5.0
96,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,328,5.0
97,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,8.0
98,3.0,1.0,5,1.0,0.0,1,1,1,1,328,5.0
99,3.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,6.0
100,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,8.0
101,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,6.0
102,4.0,2.0,5,2.0,0.0,1,1,1,1,328,8.0
103,3.0,1.0,5,1.0,0.5555555555555556,1,1,1,1,328,5.0
104,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,328,8.0
105,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,328,3.0
106,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,328,7.0
107,4.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,328,8.0
108,4.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,8.0
109,2.0,1.0,1,1.0,0.0,1,1,1,1,328,3.0
110,4.0,1.0,5,1.0,0.3333333333333333,1,1,1,1,328,7.0
111,4.0,1.0,5,1.0,0.0,1,1,1,1,328,7.0
112,4.0,2.0,5,2.0,0.0,1,1,1,1,328,8.0
113,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,2.0
114,3.0,1.0,5,1.0,0.0,1,1,1,1,328,5.0
115,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,328,2.0
116,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,328,8.0
117,2.0,1.0,1,1.0,0.0,1,1,1,1,328,3.0
