,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,2.0,1.0,1,1.0,0.0,1,1,1,1,24,3.0
1,2.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,4.0
2,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,6.0
3,4.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,24,7.0
4,3.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,24,6.0
5,1.0,1.0,1,1.0,0.0,1,1,1,1,24,1.0
6,3.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,24,6.0
7,4.0,2.0,1,2.0,0.0,1,1,1,1,24,8.0
8,2.0,1.0,5,1.0,0.0,1,1,1,1,24,3.0
9,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,8.0
10,2.0,1.0,1,1.0,0.0,1,1,1,1,24,3.0
11,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,24,2.0
12,4.0,2.0,5,2.0,0.0,1,1,1,1,24,8.0
13,4.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,24,7.0
14,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,8.0
15,1.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,2.0
16,2.0,2.0,1,2.0,0.0,1,1,1,1,24,4.0
17,2.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,24,3.0
18,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
19,4.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,8.0
20,2.0,1.0,1,1.0,0.0,1,1,1,1,24,3.0
21,3.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,6.0
22,1.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,24,2.0
23,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,24,8.0
24,1.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,24,2.0
25,2.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,4.0
26,4.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,24,8.0
27,2.0,2.0,1,2.0,0.0,1,1,1,1,24,4.0
28,3.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,24,6.0
29,4.0,2.0,5,2.0,0.4444444444444444,1,1,1,1,24,8.0
30,3.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,24,6.0
31,4.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,24,8.0
32,3.0,2.0,5,2.0,0.0,1,1,1,1,24,6.0
33,2.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,24,4.0
34,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,6.0
35,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,24,5.0
36,2.0,2.0,1,2.0,0.0,1,1,1,1,24,4.0
37,2.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,24,4.0
38,3.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,6.0
39,1.0,2.0,5,2.0,0.0,1,1,1,1,24,2.0
40,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
41,3.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,24,6.0
42,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,24,8.0
43,4.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,8.0
44,3.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,24,6.0
45,3.0,2.0,5,2.0,0.0,1,1,1,1,24,6.0
46,1.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,24,2.0
47,2.0,2.0,1,2.0,0.2222222222222222,1,1,1,1,24,4.0
48,1.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,2.0
49,1.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,2.0
50,2.0,2.0,1,2.0,0.0,1,1,1,1,24,4.0
51,1.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,24,1.0
52,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,4.0
53,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,3.0
54,2.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,24,3.0
55,4.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,8.0
56,4.0,2.0,5,2.0,0.0,1,1,1,1,24,8.0
57,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
58,2.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,4.0
59,2.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,24,4.0
60,4.0,1.0,5,1.0,0.0,1,1,1,1,24,7.0
61,1.0,1.0,1,1.0,0.3333333333333333,1,1,1,1,24,1.0
62,3.0,2.0,5,2.0,0.0,1,1,1,1,24,6.0
63,1.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,24,1.0
64,2.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,3.0
65,1.0,2.0,1,2.0,0.4444444444444444,1,1,1,1,24,2.0
66,3.0,2.0,5,2.0,0.4444444444444444,1,1,1,1,24,6.0
67,4.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,8.0
68,4.0,2.0,5,2.0,0.5555555555555556,1,1,1,1,24,8.0
69,1.0,2.0,1,2.0,0.3333333333333333,1,1,1,1,24,2.0
70,4.0,2.0,5,2.0,0.2222222222222222,1,1,1,1,24,8.0
71,1.0,2.0,5,2.0,0.3333333333333333,1,1,1,1,24,2.0
72,3.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,6.0
73,3.0,2.0,5,2.0,0.1111111111111111,1,1,1,1,24,6.0
74,1.0,2.0,1,2.0,0.1111111111111111,1,1,1,1,24,2.0
75,3.0,2.0,5,2.0,0.0,1,1,1,1,24,6.0
76,1.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,24,1.0
77,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,24,7.0
78,1.0,1.0,5,1.0,0.4444444444444444,1,1,1,1,24,1.0
79,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
80,4.0,1.0,5,1.0,0.2222222222222222,1,1,1,1,24,7.0
81,4.0,1.0,5,1.0,0.0,1,1,1,1,24,7.0
82,4.0,2.0,5,2.0,0.0,1,1,1,1,24,8.0
83,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
84,3.0,1.0,5,1.0,0.1111111111111111,1,1,1,1,24,5.0
85,3.0,1.0,5,1.0,0.0,1,1,1,1,24,5.0
86,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
87,2.0,1.0,1,1.0,0.6666666666666666,1,1,1,1,24,3.0
88,3.0,1.0,5,1.0,0.0,1,1,1,1,24,5.0
89,2.0,1.0,1,1.0,0.2222222222222222,1,1,1,1,24,3.0
90,1.0,1.0,1,1.0,0.1111111111111111,1,1,1,1,24,1.0
