,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,21,3.0
1,4.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,21,8.0
2,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,21,3.0
3,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,21,8.0
4,3.0,2.0,1,2.0,0.0,2,1,1,1,21,6.0
5,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,5.0
6,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,21,3.0
7,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,21,4.0
8,3.0,2.0,1,2.0,0.0,2,1,1,1,21,6.0
9,3.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,21,5.0
10,1.0,1.0,1,1.0,0.0,2,1,1,1,21,1.0
11,4.0,1.0,1,1.0,0.0,2,1,1,1,21,7.0
12,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,21,6.0
13,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,21,7.0
14,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,21,5.0
15,2.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,21,4.0
16,2.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,21,4.0
17,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,7.0
18,1.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,21,1.0
19,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,21,2.0
20,3.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,21,6.0
21,1.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,21,1.0
22,2.0,2.0,1,2.0,0.0,2,1,1,1,21,4.0
23,3.0,1.0,1,1.0,0.0,2,1,1,1,21,5.0
24,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,21,6.0
25,2.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,3.0
26,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,21,2.0
27,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,21,1.0
28,4.0,2.0,1,2.0,0.0,2,1,1,1,21,8.0
29,1.0,1.0,5,1.0,0.0,2,1,1,1,21,1.0
30,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,21,5.0
31,4.0,1.0,1,1.0,0.0,2,1,1,1,21,7.0
32,3.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,21,5.0
33,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,7.0
34,2.0,1.0,1,1.0,0.0,2,1,1,1,21,3.0
35,2.0,1.0,5,1.0,0.0,2,1,1,1,21,3.0
36,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,21,6.0
37,1.0,2.0,5,2.0,0.0,2,1,1,1,21,2.0
38,1.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,21,1.0
39,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,21,2.0
40,1.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,21,1.0
41,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,5.0
42,1.0,2.0,1,2.0,0.0,2,1,1,1,21,2.0
43,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,7.0
44,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,21,4.0
45,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,21,4.0
46,3.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,21,6.0
47,4.0,2.0,5,2.0,0.0,2,1,1,1,21,8.0
48,4.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,21,7.0
49,1.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,21,2.0
50,1.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,21,2.0
51,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,21,4.0
52,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,21,3.0
53,4.0,2.0,1,2.0,0.5555555555555556,2,1,1,1,21,8.0
54,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,21,4.0
55,3.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,21,5.0
56,2.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,21,4.0
57,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,21,1.0
58,1.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,21,2.0
59,3.0,2.0,1,2.0,0.0,2,1,1,1,21,6.0
60,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,21,5.0
61,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,21,2.0
62,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,21,3.0
63,3.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,21,5.0
64,1.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,21,1.0
65,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,21,8.0
66,4.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,21,8.0
67,1.0,1.0,5,1.0,0.0,2,1,1,1,21,1.0
68,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,21,4.0
69,3.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,21,5.0
70,4.0,1.0,1,1.0,0.0,2,1,1,1,21,7.0
71,2.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,21,4.0
72,4.0,1.0,1,1.0,0.0,2,1,1,1,21,7.0
73,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,21,2.0
74,3.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,21,6.0
75,3.0,2.0,1,2.0,0.0,2,1,1,1,21,6.0
76,2.0,2.0,5,2.0,0.0,2,1,1,1,21,4.0
77,4.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,21,7.0
