,state1,state2,stake,actions,points,high_arm,rt_1,rt_2,stim_left_num,subid,choice1
0,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,4.0
1,4.0,2.0,1,2.0,0.0,2,1,1,1,419,8.0
2,1.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,1.0
3,3.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,6.0
4,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,8.0
5,1.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,419,1.0
6,4.0,1.0,5,1.0,0.0,2,1,1,1,419,7.0
7,4.0,1.0,5,1.0,0.0,2,1,1,1,419,7.0
8,3.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,419,5.0
9,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,419,4.0
10,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,2.0
11,2.0,2.0,5,2.0,0.0,2,1,1,1,419,4.0
12,1.0,1.0,5,1.0,0.0,2,1,1,1,419,1.0
13,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,4.0
14,3.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,6.0
15,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,419,1.0
16,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,419,6.0
17,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,419,6.0
18,1.0,2.0,5,2.0,0.3333333333333333,2,1,1,1,419,2.0
19,1.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,419,2.0
20,4.0,2.0,1,2.0,0.0,2,1,1,1,419,8.0
21,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,419,7.0
22,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,2.0
23,2.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,419,3.0
24,4.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,419,7.0
25,4.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,419,7.0
26,1.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,2.0
27,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,419,4.0
28,2.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,3.0
29,4.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,419,7.0
30,1.0,1.0,1,1.0,0.3333333333333333,2,1,1,1,419,1.0
31,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,419,7.0
32,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,419,6.0
33,2.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,419,3.0
34,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,8.0
35,2.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,3.0
36,2.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,4.0
37,3.0,2.0,1,2.0,0.0,2,1,1,1,419,6.0
38,4.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,7.0
39,3.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,5.0
40,2.0,2.0,5,2.0,0.1111111111111111,2,1,1,1,419,4.0
41,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,2.0
42,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,5.0
43,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,7.0
44,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,8.0
45,2.0,1.0,5,1.0,0.3333333333333333,2,1,1,1,419,3.0
46,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,5.0
47,4.0,2.0,1,2.0,0.0,2,1,1,1,419,8.0
48,1.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,2.0
49,4.0,1.0,1,1.0,0.2222222222222222,2,1,1,1,419,7.0
50,1.0,1.0,5,1.0,0.0,2,1,1,1,419,1.0
51,4.0,2.0,1,2.0,0.2222222222222222,2,1,1,1,419,8.0
52,4.0,1.0,1,1.0,0.4444444444444444,2,1,1,1,419,7.0
53,3.0,2.0,1,2.0,0.3333333333333333,2,1,1,1,419,6.0
54,3.0,2.0,5,2.0,0.2222222222222222,2,1,1,1,419,6.0
55,2.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,419,4.0
56,2.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,3.0
57,3.0,2.0,1,2.0,0.4444444444444444,2,1,1,1,419,6.0
58,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,419,6.0
59,1.0,1.0,5,1.0,0.0,2,1,1,1,419,1.0
60,3.0,2.0,1,2.0,0.1111111111111111,2,1,1,1,419,6.0
61,1.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,419,1.0
62,1.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,1.0
63,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,5.0
64,4.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,7.0
65,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,7.0
66,4.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,7.0
67,3.0,1.0,1,1.0,0.1111111111111111,2,1,1,1,419,5.0
68,2.0,2.0,1,2.0,0.0,2,1,1,1,419,4.0
69,3.0,1.0,5,1.0,0.2222222222222222,2,1,1,1,419,5.0
70,2.0,1.0,5,1.0,0.1111111111111111,2,1,1,1,419,3.0
