,subid,state1_high_coef,l_high_coef,o_high_coef,state1_low_coef,l_low_coef,o_low_coef,high_arm,state1_diff,l_diff,o_diff
0,1333,-44.35344827586207,-0.2284482758620692,19.646551724137925,-19.353448275862075,-5.4784482758620685,7.896551724137943,outside,-25.000000000000004,5.249999999999999,11.749999999999984
1,2225,31.491379310344833,77.49137931034484,23.74137931034481,15.491379310344806,72.74137931034483,42.74137931034482,inside,16.00000000000003,4.750000000000013,-19.000000000000007
2,4192,-37.68103448275863,50.81896551724142,56.3189655172414,-9.681034482758617,21.568965517241377,15.068965517241399,outside,-28.00000000000001,29.25000000000004,41.24999999999999
3,4281,2.4396551724137927,11.439655172413795,-2.810344827586197,5.939655172413796,10.189655172413797,-0.5603448275862082,inside,-3.500000000000003,1.2500000000000018,-2.2499999999999893
4,2099,9.379310344827577,35.254310344827616,30.12931034482757,32.62931034482759,40.629310344827594,35.62931034482758,inside,-23.25000000000001,-5.374999999999972,-5.500000000000007
5,3311,-14.758620689655167,31.491379310344826,6.241379310344838,-6.258620689655174,31.866379310344833,9.74137931034483,inside,-8.499999999999995,-0.3750000000000071,-3.499999999999991
6,1952,-11.810344827586222,-7.56034482758622,-11.810344827586208,0.6896551724137923,16.5646551724138,-1.060344827586206,inside,-12.500000000000009,-24.125000000000018,-10.750000000000002
7,4438,6.448275862068948,22.573275862068968,6.1982758620689475,26.948275862068964,25.823275862068968,24.698275862068954,outside,-20.50000000000001,-3.25,-18.500000000000007
8,4277,24.879310344827584,1.7543103448275863,8.129310344827603,-6.870689655172413,6.254310344827589,-7.620689655172409,inside,31.75,-4.500000000000003,15.750000000000012
9,1846,-24.51724137931035,50.48275862068965,59.232758620689665,-14.767241379310342,30.48275862068965,47.732758620689665,inside,-9.750000000000009,20.0,11.5
10,811,35.07758620689654,5.702586206896553,24.327586206896573,-3.1724137931034537,7.827586206896548,9.577586206896543,outside,38.24999999999999,-2.1249999999999964,14.750000000000028
11,4355,24.456896551724128,58.45689655172413,53.95689655172415,-2.5431034482758825,48.70689655172416,36.20689655172416,outside,27.00000000000001,9.749999999999973,17.749999999999993
12,4130,8.50862068965518,9.383620689655174,-2.4913793103448176,-5.741379310344827,0.8836206896551753,-16.49137931034484,inside,14.250000000000007,8.5,14.00000000000002
13,2923,-0.08620689655172901,16.038793103448267,0.6637931034482758,-9.336206896551722,16.66379310344827,20.16379310344828,inside,9.249999999999991,-0.6250000000000036,-19.5
14,4279,-4.4568965517241415,1.7931034482758674,-24.206896551724164,1.0431034482758672,0.543103448275862,15.04310344827586,outside,-5.500000000000008,1.250000000000005,-39.25000000000002
15,2815,-25.41379310344825,41.211206896551744,55.0862068965517,-14.413793103448276,45.961206896551744,28.086206896551733,inside,-10.999999999999973,-4.749999999999994,26.999999999999968
16,1177,2.810344827586212,-3.1896551724137967,18.8103448275862,7.560344827586199,-15.064655172413795,-16.939655172413794,inside,-4.7499999999999885,11.874999999999998,35.749999999999986
17,4071,-6.137931034482755,14.612068965517242,19.11206896551724,-25.63793103448276,2.9870689655172384,20.61206896551723,inside,19.500000000000007,11.625000000000005,-1.4999999999999891
18,3831,3.2155172413793074,-10.534482758620689,-0.7844827586206993,-2.2844827586206904,-7.28448275862069,10.215517241379311,inside,5.499999999999997,-3.25,-11.000000000000007
19,4398,23.517241379310345,46.26724137931035,37.51724137931035,-6.982758620689657,43.89224137931036,40.26724137931035,inside,30.500000000000004,2.3749999999999933,-2.7500000000000067
20,4353,34.94827586206897,-0.05172413793104447,6.948275862068954,-4.801724137931042,-4.176724137931041,34.198275862068954,outside,39.75000000000001,4.1249999999999964,-27.25
21,4222,-30.23275862068964,32.89224137931037,41.017241379310335,-9.732758620689657,8.892241379310349,7.517241379310358,outside,-20.499999999999982,24.000000000000018,33.49999999999998
22,4089,-25.62068965517242,-2.9956896551724093,-5.370689655172409,-7.620689655172407,-6.745689655172409,-21.62068965517242,outside,-18.000000000000018,3.75,16.25000000000001
23,3280,-15.784482758620687,63.21551724137933,66.7155172413793,-22.784482758620662,80.46551724137935,22.465517241379338,inside,6.999999999999977,-17.250000000000018,44.24999999999997
24,4459,-5.163793103448288,30.33620689655172,16.3362068965517,11.086206896551724,44.08620689655172,21.83620689655173,inside,-16.250000000000018,-13.749999999999993,-5.500000000000028
25,1526,-19.62068965517243,34.754310344827594,30.12931034482758,-13.87068965517242,23.629310344827594,41.3793103448276,outside,-5.7500000000000115,11.125,-11.25000000000002
26,4440,3.3793103448275854,4.004310344827584,1.879310344827585,-1.1206896551724133,15.379310344827598,7.379310344827589,inside,4.499999999999998,-11.375000000000016,-5.500000000000004
27,4433,-17.603448275862068,7.521551724137932,1.1465517241379255,1.8965517241379373,-7.103448275862066,4.8965517241379315,inside,-19.500000000000004,14.624999999999995,-3.750000000000005
28,3591,22.83620689655172,-13.663793103448276,2.3362068965517206,9.086206896551717,-14.03879310344828,11.336206896551714,outside,13.750000000000007,0.3750000000000053,-8.999999999999995
29,3827,14.517241379310345,20.26724137931033,15.267241379310319,-11.232758620689664,-9.357758620689658,32.01724137931034,outside,25.75000000000001,29.624999999999996,-16.750000000000018
30,1988,32.232758620689644,41.60775862068965,-6.017241379310335,10.482758620689657,29.23275862068965,28.482758620689644,inside,21.749999999999986,12.375000000000007,-34.49999999999998
31,3836,56.75,34.62500000000001,38.750000000000014,9.249999999999991,26.12500000000001,-18.999999999999982,outside,47.50000000000001,8.500000000000004,57.74999999999999
