,subid,state1_coef,l_coef,o_coef,high_arm
0,1333,-24.517441860465127,3.816860465116271,23.73352713178295,outside
1,2225,45.63953488372093,89.5901162790697,46.42344961240306,inside
2,4192,-1.1511627906976718,51.03779069767438,50.204457364341074,outside
3,4281,7.82267441860465,14.013081395348836,7.763081395348838,inside
4,2099,27.22965116279069,46.223837209302296,33.2863372093023,inside
5,3311,-5.174418604651168,34.606104651162774,10.126937984496127,inside
6,1952,-7.479651162790705,4.526162790697674,-1.1196705426356597,inside
7,4438,30.325581395348824,34.668604651162774,31.62693798449611,outside
8,4277,3.093023255813956,0.6017441860465134,-8.56492248062015,inside
9,1846,1.5087209302325588,57.091569767441825,61.92490310077518,inside
10,811,21.162790697674414,17.646802325581383,36.58430232558139,outside
11,4355,35.07848837209299,74.9491279069767,71.40746124031003,outside
12,4130,4.296511627906977,5.488372093023255,-3.219961240310079,inside
13,2923,-4.1860465116279135,18.484011627906984,10.046511627906977,inside
14,4279,-3.4854651162790686,-0.47238372093023084,-5.847383720930234,outside
15,2815,-7.482558139534887,55.43313953488369,46.55813953488371,inside
16,1177,6.116279069767445,-9.716569767441857,-2.0707364341085235,inside
17,4071,-16.543604651162795,6.479651162790693,0.37548449612403356,inside
18,3831,1.48546511627907,-7.527616279069767,5.430717054263564,inside
19,4398,13.002906976744178,52.34302325581395,33.238856589147275,inside
20,4353,15.366279069767439,-1.7165697674418636,7.345930232558134,outside
21,4222,-12.020348837209319,28.411337209302324,29.11967054263566,outside
22,4089,-15.648255813953494,-4.8066860465116275,-3.9733527131782944,outside
23,3280,2.8139534883720714,87.9215116279069,56.963178294573616,inside
24,4459,12.404069767441847,44.11773255813954,23.992732558139537,inside
25,1526,-6.508720930232581,40.22093023255812,42.78343023255813,outside
26,4440,-0.9273255813953465,6.825581395348835,-6.570251937984491,inside
27,4433,-8.930232558139538,-0.9549418604651145,-1.8507751937984493,inside
28,3591,23.124999999999996,-6.875000000000001,20.437499999999993,outside
29,3827,4.5203488372093,8.151162790697672,15.046996124031008,outside
30,1988,30.07558139534883,42.231104651162774,20.585271317829452,inside
31,3836,23.061046511627918,22.765988372093013,-17.81734496124031,outside
32,454,1.886627906976723,78.93459302325576,72.3929263565891,inside
33,4461,75.16860465116281,3.02034883720931,-18.22965116279069,outside
34,3652,0.9709302325581393,3.6947674418604652,5.111434108527131,inside
35,2370,19.26162790697674,10.122093023255811,4.580426356589144,inside
36,4213,-3.3546511627906983,4.963662790697673,2.2344961240310086,outside
37,2726,25.18023255813954,-4.420058139534879,0.6424418604651172,inside
38,4407,4.6540697674418565,12.930232558139522,22.40939922480619,inside
39,4043,12.383720930232558,3.2165697674418583,5.52906976744186,inside
40,489,31.895348837209287,80.08866279069763,68.02616279069765,outside
41,3601,9.136627906976727,39.43459302325578,22.976259689922458,inside
42,3962,20.348837209302324,21.225290697674424,5.246124031007755,outside
43,4086,13.94476744186046,39.482558139534866,30.42005813953488,inside
44,4444,3.9825581395348846,6.754360465116278,2.19186046511628,inside
45,3671,17.819767441860456,12.732558139534877,20.440891472868206,outside
46,3645,15.651162790697647,24.02470930232556,55.17054263565889,inside
47,2188,-5.776162790697672,1.287790697674418,-9.06637596899224,outside
48,4310,-1.1656976744186178,24.57267441860464,17.84350775193798,outside
49,4390,-1.7034883720930216,7.175872093023255,7.155038759689919,outside
50,2757,9.098837209302328,7.287790697674415,7.6211240310077475,outside
51,4470,13.680232558139533,-2.795058139534884,11.975775193798437,inside
52,4458,10.159883720930225,18.116279069767444,14.345445736434108,inside
53,2912,5.851744186046512,0.38081395348837144,1.1099806201550388,inside
54,3688,9.680232558139535,-0.04505813953488408,-0.06589147286821817,inside
55,4460,2.587209302325566,40.478197674418595,11.040697674418603,outside
56,3506,35.156976744186046,18.523255813953483,-5.601744186046513,outside
57,1940,22.30232558139533,63.924418604651144,25.96608527131783,outside
58,1876,20.183139534883722,18.297965116279077,-7.9937015503875966,outside
59,4417,27.502906976744185,48.09302325581395,48.03052325581395,outside
60,4204,0.02906976744186215,-10.007267441860462,2.3885658914728705,inside
61,4019,11.947674418604631,60.513081395348834,69.40891472868215,inside
62,4189,7.005813953488374,5.373546511627907,0.22771317829457605,outside
63,4091,26.438953488372075,91.3590116279069,44.56734496124028,outside
64,326,1.0290697674418336,35.367732558139515,32.22189922480618,inside
65,4445,44.997093023255815,-6.9680232558139465,-2.9471899224806153,outside
66,606,7.546511627906977,-2.2616279069767415,1.7800387596899212,inside
67,2189,16.651162790697676,-1.2252906976744253,4.462209302325577,inside
68,2962,-18.671511627906977,-16.86337209302325,-9.217538759689917,inside
69,3855,2.7063953488372134,4.0421511627906925,-9.791182170542635,outside
70,2905,-10.462209302325581,-11.790697674418608,17.605135658914723,inside
71,4344,5.258720930232558,-0.533430232558139,13.008236434108525,outside
72,4080,16.773255813953494,14.61918604651162,0.6191860465116292,outside
73,4424,3.444767441860462,3.8575581395348806,11.461724806201545,outside
74,4462,-6.203488372093025,-9.886627906976749,6.321705426356583,outside
75,4480,7.624999999999997,8.062499999999998,-8.854166666666664,outside
76,4416,-10.424418604651168,15.231104651162795,10.710271317829463,outside
77,4419,12.540697674418626,17.17732558139535,12.677325581395351,inside
78,4360,10.284883720930232,12.116279069767437,0.8246124031007778,outside
79,2447,-36.81976744186047,15.454941860465095,22.85077519379842,outside
80,4275,-2.357558139534879,-12.566860465116273,-10.671027131782942,outside
81,3964,-2.354651162790697,0.21366279069767413,0.8178294573643403,outside
82,953,23.046511627906995,4.863372093023248,23.030038759689916,inside
83,4486,-4.200581395348838,16.143895348837198,2.5605620155038746,outside
84,4147,-11.55523255813953,-5.329941860465119,23.295058139534873,outside
85,4452,-4.787790697674417,-1.2718023255813935,-2.1468023255813953,inside
86,2306,32.09883720930233,-0.7122093023255895,5.079457364341079,inside
87,3631,14.156976744186043,20.085755813953483,-10.685077519379833,outside
88,4150,-7.014534883720931,6.909883720930232,-8.652616279069761,outside
89,4165,1.4534883720930192,24.13662790697672,48.88662790697673,outside
90,4476,78.68023255813956,4.3299418604651105,3.5591085271317784,outside
91,336,-18.84302325581396,-14.726744186046508,10.856589147286815,inside
92,4256,-9.645348837209301,-3.4011627906976747,-6.442829457364341,inside
