,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num,high or low arm
18095,2,object_01,object_08,634.1300001,4,2,309.535,0.5555555555555556,2,object_02,5,1951,0,2,5,forest_22,1,memory-2step-stake-s,665,2446465,0.0-18.0-0.1-0.175,2905,3,4,low
18096,2,object_01,object_08,854.1899999,3,1,397.3999999,0.2222222222222222,1,object_09,1,1953,0,2,8,forest_18,1,memory-2step-stake-s,666,2454312,0.0-18.0-0.1-0.176,2905,3,4,low
18097,3,object_04,object_07,1266.565,5,2,364.5300001,0.1111111111111111,1,object_09,1,1954,0,1,7,library_13,1,memory-2step-stake-s,667,2462027,0.0-18.0-0.1-0.177,2905,6,5,high
18098,4,object_10,object_05,925.2599999,7,2,341.18,0.1111111111111111,1,object_09,5,1959,0,1,9,restaurant_16,1,memory-2step-stake-s,668,2469709,0.0-18.0-0.1-0.178,2905,8,7,high
18099,1,object_06,object_03,978.1799999,1,2,336.6699999,0.3333333333333333,1,object_09,1,1962,0,3,8,desert_5,1,memory-2step-stake-s,669,2477594,0.0-18.0-0.1-0.179,2905,2,1,low
18100,3,object_07,object_04,808.65,6,2,476.99000010000003,1.0,2,object_02,5,2007,0,5,9,library_4,1,memory-2step-stake-s,670,2486251,0.0-18.0-0.1-0.180,2905,5,6,high
18101,3,object_07,object_04,913.895,6,2,516.0350001,0.4444444444444444,2,object_02,5,2027,0,2,4,library_7,1,memory-2step-stake-s,671,2494420,0.0-18.0-0.1-0.181,2905,5,6,high
18102,4,object_10,object_05,1191.145,7,2,368.5300001,0.0,1,object_09,5,2027,0,0,2,restaurant_5,1,memory-2step-stake-s,672,2502033,0.0-18.0-0.1-0.182,2905,8,7,high
18103,4,object_05,object_10,877.45,7,1,450.5200002,0.0,1,object_09,5,2027,0,0,3,restaurant_7,1,memory-2step-stake-s,673,2509726,0.0-18.0-0.1-0.183,2905,7,8,high
18104,2,object_01,object_08,858.3099998,3,1,326.0900001,0.3333333333333333,1,object_09,1,2030,0,3,2,forest_18,1,memory-2step-stake-s,674,2517601,0.0-18.0-0.1-0.184,2905,3,4,low
18105,1,object_06,object_03,733.645,2,1,336.17500010000003,0.6666666666666666,2,object_02,5,2060,0,3,6,desert_29,1,memory-2step-stake-s,675,2525807,0.0-18.0-0.1-0.185,2905,2,1,low
18106,1,object_03,object_06,687.5800001,1,1,367.17,0.1111111111111111,1,object_09,1,2061,0,1,7,desert_12,1,memory-2step-stake-s,676,2533524,0.0-18.0-0.1-0.186,2905,1,2,low
18107,3,object_04,object_07,909.2849997999999,6,1,397.82999989999996,0.6666666666666666,2,object_02,5,2091,0,1,6,library_10,1,memory-2step-stake-s,677,2541767,0.0-18.0-0.1-0.187,2905,6,5,high
18108,4,object_05,object_10,963.12,8,2,362.805,0.2222222222222222,2,object_02,5,2101,0,0,2,restaurant_12,1,memory-2step-stake-s,678,2549579,0.0-18.0-0.1-0.188,2905,7,8,high
18109,1,object_03,object_06,1162.85,1,1,398.72000019999996,0.4444444444444444,1,object_09,1,2105,0,4,1,desert_1,1,memory-2step-stake-s,679,2557636,0.0-18.0-0.1-0.189,2905,1,2,low
18110,1,object_03,object_06,926.5699999,1,1,372.8999998,0.3333333333333333,1,object_09,5,2120,0,3,2,desert_7,1,memory-2step-stake-s,680,2565562,0.0-18.0-0.1-0.190,2905,1,2,low
18111,1,object_03,object_06,791.9600001,2,2,328.51499989999996,0.3333333333333333,2,object_02,1,2123,0,1,3,desert_2,1,memory-2step-stake-s,681,2573442,0.0-18.0-0.1-0.191,2905,1,2,low
18112,1,object_03,object_06,793.3700001,2,2,335.125,0.1111111111111111,2,object_02,1,2124,0,1,1,desert_21,1,memory-2step-stake-s,682,2581106,0.0-18.0-0.1-0.192,2905,1,2,low
