,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,1,object_06,object_02,1247.51,2,1,-1.0,0.0,2,object_10,5,0,0,5,1,desert_14,2,memory-2step-stake-s,497,817339,0.0-18.0-0.0-0.0,4344,2,1
1,1,object_02,object_06,-1.0,-1,-1,-1.0,0.0,-,,5,0,0,2,2,desert_8,2,memory-2step-stake-s,498,823860,0.0-18.0-0.0-0.1,4344,1,2
2,2,object_08,object_03,329.77,4,2,382.93000010000003,0.1111111111111111,2,object_10,5,5,0,3,1,forest_7,2,memory-2step-stake-s,499,831572,0.0-18.0-0.0-0.2,4344,3,4
3,1,object_06,object_02,719.6250001,1,2,633.105,0.4444444444444444,1,object_09,5,25,0,4,3,desert_2,2,memory-2step-stake-s,500,839845,0.0-18.0-0.0-0.3,4344,2,1
4,2,object_08,object_03,352.47499980000003,3,1,403.50999989999997,0.5555555555555556,1,object_09,5,50,0,5,3,forest_19,2,memory-2step-stake-s,501,847982,0.0-18.0-0.0-0.4,4344,3,4
5,4,object_07,object_05,572.37,8,2,792.225,0.5555555555555556,2,object_10,1,55,0,4,5,restaurant_1,2,memory-2step-stake-s,502,856520,0.0-18.0-0.0-0.5,4344,7,8
6,2,object_08,object_03,691.0649999,4,2,752.02,0.3333333333333333,2,object_10,1,58,0,2,3,forest_7,2,memory-2step-stake-s,503,864810,0.0-18.0-0.0-0.6,4344,3,4
7,1,object_02,object_06,874.8650001,1,1,612.0449997999999,0.2222222222222222,1,object_09,5,68,0,2,4,desert_28,2,memory-2step-stake-s,504,872846,0.0-18.0-0.0-0.7,4344,1,2
8,1,object_06,object_02,-1.0,-1,-1,-1.0,0.0,-,,5,68,0,3,7,desert_1,2,memory-2step-stake-s,505,879362,0.0-18.0-0.0-0.8,4344,2,1
9,4,object_07,object_05,418.0349999,8,2,305.835,0.5555555555555556,2,object_10,5,93,0,3,5,restaurant_15,2,memory-2step-stake-s,506,887403,0.0-18.0-0.0-0.9,4344,7,8
10,3,object_01,object_04,706.9549998,5,2,725.9,0.6666666666666666,1,object_09,1,99,0,6,8,library_1,2,memory-2step-stake-s,507,895975,0.0-18.0-0.0-0.10,4344,6,5
11,2,object_08,object_03,454.62,4,2,381.1899999,0.7777777777777778,2,object_10,5,134,0,6,7,forest_21,2,memory-2step-stake-s,508,904305,0.0-18.0-0.0-0.11,4344,3,4
12,4,object_07,object_05,729.8099999,8,2,570.3749999,0.4444444444444444,2,object_10,1,138,0,2,4,restaurant_21,2,memory-2step-stake-s,509,912514,0.0-18.0-0.0-0.12,4344,7,8
13,3,object_01,object_04,713.46,6,1,976.8950001000001,0.6666666666666666,2,object_10,1,144,0,2,6,library_25,2,memory-2step-stake-s,510,921325,0.0-18.0-0.0-0.13,4344,6,5
14,3,object_04,object_01,801.2350001,6,2,91.915,0.7777777777777778,2,object_10,1,151,0,2,7,library_4,2,memory-2step-stake-s,511,929366,0.0-18.0-0.0-0.14,4344,5,6
15,4,object_05,object_07,901.8049999,8,1,358.06,0.4444444444444444,2,object_10,1,155,0,3,4,restaurant_31,2,memory-2step-stake-s,512,937363,0.0-18.0-0.0-0.15,4344,8,7
16,1,object_02,object_06,1354.86,1,1,662.4449999,0.1111111111111111,1,object_09,1,156,0,1,6,desert_26,2,memory-2step-stake-s,513,945354,0.0-18.0-0.0-0.16,4344,1,2
