,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,3,object_02,object_10,-1.0,-1,-1,-1.0,0.0,-,,5,0,0,0,1,library_28,1,memory-2step-stake-s,503,978378,0.0-18.0-0.0-0.0,4433,6,5
1,4,object_04,object_09,1066.07,8,1,1318.58,0.1111111111111111,2,object_08,5,5,0,3,1,restaurant_8,1,memory-2step-stake-s,504,987022,0.0-18.0-0.0-0.1,4433,8,7
2,4,object_04,object_09,1328.47,7,2,607.97,0.1111111111111111,1,object_01,1,6,0,1,0,restaurant_32,1,memory-2step-stake-s,505,994961,0.0-18.0-0.0-0.2,4433,8,7
3,2,object_07,object_05,964.745,4,1,814.0049998,0.3333333333333333,2,object_08,1,9,0,2,3,forest_7,1,memory-2step-stake-s,506,1003313,0.0-18.0-0.0-0.3,4433,4,3
4,2,object_05,object_07,1004.365,4,2,652.7849999,0.4444444444444444,2,object_08,1,13,0,2,4,forest_20,1,memory-2step-stake-s,507,1011608,0.0-18.0-0.0-0.4,4433,3,4
5,2,object_07,object_05,1472.615,4,1,536.265,0.5555555555555556,2,object_08,5,38,0,1,5,forest_16,1,memory-2step-stake-s,508,1019890,0.0-18.0-0.0-0.5,4433,4,3
6,4,object_04,object_09,-1.0,-1,-1,-1.0,0.0,-,,5,38,0,2,4,restaurant_31,1,memory-2step-stake-s,509,1026419,0.0-18.0-0.0-0.6,4433,8,7
7,1,object_06,object_03,1146.19,1,2,573.635,0.3333333333333333,1,object_01,1,41,0,3,2,desert_24,1,memory-2step-stake-s,510,1034533,0.0-18.0-0.0-0.7,4433,2,1
8,4,object_09,object_04,1178.935,7,1,609.4450001,0.8888888888888888,1,object_01,5,81,0,8,6,restaurant_3,1,memory-2step-stake-s,511,1043200,0.0-18.0-0.0-0.8,4433,7,8
9,3,object_10,object_02,978.0549998,6,2,450.8750001,0.8888888888888888,2,object_08,5,121,0,6,8,library_28,1,memory-2step-stake-s,512,1051717,0.0-18.0-0.0-0.9,4433,5,6
10,2,object_07,object_05,1257.53,3,2,523.1600001,0.4444444444444444,1,object_01,1,125,0,4,8,forest_7,1,memory-2step-stake-s,513,1059897,0.0-18.0-0.0-0.10,4433,4,3
11,3,object_10,object_02,494.9099999,5,1,506.5200001,0.3333333333333333,1,object_01,5,140,0,3,9,library_2,1,memory-2step-stake-s,514,1067950,0.0-18.0-0.0-0.11,4433,5,6
12,4,object_04,object_09,662.95,8,1,475.57499979999994,0.7777777777777778,2,object_08,5,175,0,4,7,restaurant_18,1,memory-2step-stake-s,515,1076387,0.0-18.0-0.0-0.12,4433,8,7
13,1,object_06,object_03,693.5700001,2,1,543.0900001,0.7777777777777778,2,object_08,5,210,0,0,7,desert_26,1,memory-2step-stake-s,516,1084890,0.0-18.0-0.0-0.13,4433,2,1
14,2,object_07,object_05,330.2800001,4,1,585.525,0.6666666666666666,2,object_08,5,240,0,2,6,forest_27,1,memory-2step-stake-s,517,1093336,0.0-18.0-0.0-0.14,4433,4,3
15,3,object_02,object_10,1135.415,6,1,499.88499979999995,0.6666666666666666,2,object_08,1,246,0,1,6,library_6,1,memory-2step-stake-s,518,1101683,0.0-18.0-0.0-0.15,4433,6,5
16,3,object_10,object_02,1149.455,6,2,609.8449999,0.7777777777777778,2,object_08,5,281,0,2,7,library_3,1,memory-2step-stake-s,519,1110239,0.0-18.0-0.0-0.16,4433,5,6
17,3,object_02,object_10,855.9100002,6,1,556.9549999,0.8888888888888888,2,object_08,5,321,0,1,8,library_4,1,memory-2step-stake-s,520,1118864,0.0-18.0-0.0-0.17,4433,6,5
18,4,object_04,object_09,725.6149998999999,7,2,596.71,0.2222222222222222,1,object_01,1,323,0,2,9,restaurant_11,1,memory-2step-stake-s,521,1126891,0.0-18.0-0.0-0.18,4433,8,7
19,3,object_02,object_10,462.07499989999997,6,1,533.4000001,0.8888888888888888,2,object_08,5,363,0,3,8,library_13,1,memory-2step-stake-s,522,1135480,0.0-18.0-0.0-0.19,4433,6,5
20,2,object_07,object_05,598.455,4,1,538.34,0.8888888888888888,2,object_08,1,371,0,4,8,forest_18,1,memory-2step-stake-s,523,1144086,0.0-18.0-0.0-0.20,4433,4,3
21,3,object_10,object_02,1117.795,6,2,718.3049999,0.6666666666666666,2,object_08,5,401,0,5,6,library_27,1,memory-2step-stake-s,524,1152657,0.0-18.0-0.0-0.21,4433,5,6
22,3,object_10,object_02,1241.145,5,1,516.1850001,0.3333333333333333,1,object_01,1,404,0,3,2,library_8,1,memory-2step-stake-s,525,1160717,0.0-18.0-0.0-0.22,4433,5,6
23,3,object_10,object_02,-1.0,-1,-1,-1.0,0.0,-,,5,404,0,0,2,library_27,1,memory-2step-stake-s,526,1167234,0.0-18.0-0.0-0.23,4433,5,6
24,2,object_05,object_07,1026.72,4,2,523.4949999,0.2222222222222222,2,object_08,1,406,0,1,2,forest_9,1,memory-2step-stake-s,527,1175196,0.0-18.0-0.0-0.24,4433,3,4
25,3,object_02,object_10,1124.19,5,2,636.65,0.3333333333333333,1,object_01,5,421,0,3,0,library_29,1,memory-2step-stake-s,528,1183374,0.0-18.0-0.0-0.25,4433,6,5
26,1,object_06,object_03,738.6349998,1,2,341.04500010000004,0.2222222222222222,1,object_01,5,431,0,2,2,desert_9,1,memory-2step-stake-s,529,1191159,0.0-18.0-0.0-0.26,4433,2,1
27,2,object_07,object_05,870.565,3,2,476.8449999,0.2222222222222222,1,object_01,1,433,0,2,1,forest_8,1,memory-2step-stake-s,530,1199079,0.0-18.0-0.0-0.27,4433,4,3
28,2,object_07,object_05,1075.215,4,1,489.265,0.1111111111111111,2,object_08,1,434,0,2,1,forest_23,1,memory-2step-stake-s,531,1206891,0.0-18.0-0.0-0.28,4433,4,3
