,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,3,object_03,object_02,-1.0,-1,-1,-1.0,0.0,-,,1,0,0,5,4,library_32,1,memory-2step-stake-s,495,907422,0.0-18.0-0.0-0.0,4071,6,5
1,2,object_07,object_10,-1.0,-1,-1,-1.0,0.0,-,,1,0,0,7,6,forest_22,1,memory-2step-stake-s,496,913947,0.0-18.0-0.0-0.1,4071,3,4
2,4,object_08,object_06,1393.76,7,1,-1.0,0.0,1,object_09,5,0,0,5,8,restaurant_32,1,memory-2step-stake-s,497,922469,0.0-18.0-0.0-0.2,4071,7,8
3,3,object_03,object_02,1050.975,6,1,1162.845,0.5555555555555556,2,object_05,1,5,0,1,5,library_25,1,memory-2step-stake-s,498,931371,0.0-18.0-0.0-0.3,4071,6,5
4,4,object_06,object_08,562.875,7,2,871.58,0.2222222222222222,1,object_09,5,15,0,2,4,restaurant_32,1,memory-2step-stake-s,499,939679,0.0-18.0-0.0-0.4,4071,8,7
5,4,object_06,object_08,732.04,7,2,863.09,0.0,1,object_09,5,15,0,0,3,restaurant_7,1,memory-2step-stake-s,500,947766,0.0-18.0-0.0-0.5,4071,8,7
6,1,object_04,object_01,1082.08,2,2,887.65,0.3333333333333333,2,object_05,1,18,0,2,3,desert_15,1,memory-2step-stake-s,501,956183,0.0-18.0-0.0-0.6,4071,1,2
7,3,object_03,object_02,-1.0,-1,-1,-1.0,0.0,-,,5,18,0,4,0,library_5,1,memory-2step-stake-s,502,962709,0.0-18.0-0.0-0.7,4071,6,5
8,3,object_02,object_03,444.695,6,2,844.89,0.1111111111111111,2,object_05,1,19,0,2,1,library_5,1,memory-2step-stake-s,503,970882,0.0-18.0-0.0-0.8,4071,5,6
9,3,object_02,object_03,647.69,5,1,589.565,0.3333333333333333,1,object_09,5,34,0,3,1,library_30,1,memory-2step-stake-s,504,979005,0.0-18.0-0.0-0.9,4071,5,6
10,4,object_08,object_06,990.875,7,1,471.445,0.4444444444444444,1,object_09,5,54,0,4,2,restaurant_16,1,memory-2step-stake-s,505,987111,0.0-18.0-0.0-0.10,4071,7,8
11,4,object_08,object_06,1040.2,7,1,637.11,0.3333333333333333,1,object_09,5,69,0,3,1,restaurant_21,1,memory-2step-stake-s,506,995280,0.0-18.0-0.0-0.11,4071,7,8
12,2,object_07,object_10,1149.47,3,1,932.965,0.0,1,object_09,1,69,0,0,2,forest_9,1,memory-2step-stake-s,507,1003443,0.0-18.0-0.0-0.12,4071,3,4
13,3,object_02,object_03,-1.0,-1,-1,-1.0,0.0,-,,5,69,0,0,0,library_28,1,memory-2step-stake-s,508,1009964,0.0-18.0-0.0-0.13,4071,5,6
14,4,object_06,object_08,970.86,7,2,485.025,0.1111111111111111,1,object_09,1,70,0,1,2,restaurant_1,1,memory-2step-stake-s,509,1017781,0.0-18.0-0.0-0.14,4071,8,7
15,4,object_06,object_08,853.53,8,1,698.675,0.3333333333333333,2,object_05,1,73,0,2,3,restaurant_23,1,memory-2step-stake-s,510,1026014,0.0-18.0-0.0-0.15,4071,8,7
16,4,object_08,object_06,1301.87,7,1,1320.54,0.1111111111111111,1,object_09,5,78,0,1,1,restaurant_16,1,memory-2step-stake-s,511,1034669,0.0-18.0-0.0-0.16,4071,7,8
17,3,object_03,object_02,1053.195,5,2,1056.04,0.1111111111111111,1,object_09,5,83,0,1,2,library_24,1,memory-2step-stake-s,512,1043049,0.0-18.0-0.0-0.17,4071,6,5
18,4,object_08,object_06,922.98,8,2,541.23,0.4444444444444444,2,object_05,5,103,0,2,4,restaurant_24,1,memory-2step-stake-s,513,1051225,0.0-18.0-0.0-0.18,4071,7,8
19,1,object_01,object_04,-1.0,-1,-1,-1.0,0.0,-,,1,103,0,3,1,desert_25,1,memory-2step-stake-s,514,1057748,0.0-18.0-0.0-0.19,4071,2,1
20,2,object_07,object_10,1103.645,4,2,577.235,0.2222222222222222,2,object_05,1,105,0,3,2,forest_7,1,memory-2step-stake-s,515,1065748,0.0-18.0-0.0-0.20,4071,3,4
21,1,object_04,object_01,1213.24,2,2,600.48,0.2222222222222222,2,object_05,1,107,0,2,2,desert_3,1,memory-2step-stake-s,516,1073780,0.0-18.0-0.0-0.21,4071,1,2
22,4,object_06,object_08,1078.14,8,1,741.0,0.2222222222222222,2,object_05,5,117,0,3,2,restaurant_1,1,memory-2step-stake-s,517,1081957,0.0-18.0-0.0-0.22,4071,8,7
23,2,object_10,object_07,1224.725,4,1,504.63,0.2222222222222222,2,object_05,1,119,0,8,2,forest_25,1,memory-2step-stake-s,518,1089893,0.0-18.0-0.0-0.23,4071,4,3
24,2,object_10,object_07,1101.205,3,2,527.645,0.6666666666666666,1,object_09,1,125,0,6,1,forest_8,1,memory-2step-stake-s,519,1098256,0.0-18.0-0.0-0.24,4071,4,3
25,3,object_02,object_03,942.525,6,2,745.8,0.2222222222222222,2,object_05,5,135,0,3,2,library_2,1,memory-2step-stake-s,520,1106434,0.0-18.0-0.0-0.25,4071,5,6
26,1,object_04,object_01,1060.915,1,1,523.275,0.4444444444444444,1,object_09,1,139,0,4,4,desert_1,1,memory-2step-stake-s,521,1114593,0.0-18.0-0.0-0.26,4071,1,2
27,2,object_07,object_10,1247.185,3,1,724.055,0.1111111111111111,1,object_09,1,140,0,1,2,forest_7,1,memory-2step-stake-s,522,1122652,0.0-18.0-0.0-0.27,4071,3,4
28,1,object_01,object_04,1246.455,2,1,864.405,0.1111111111111111,2,object_05,1,141,0,0,1,desert_14,1,memory-2step-stake-s,523,1130844,0.0-18.0-0.0-0.28,4071,2,1
29,2,object_10,object_07,1088.235,4,1,626.12,0.4444444444444444,2,object_05,1,145,0,2,4,forest_20,1,memory-2step-stake-s,524,1139100,0.0-18.0-0.0-0.29,4071,4,3
30,2,object_10,object_07,883.425,4,1,520.29,0.4444444444444444,2,object_05,1,149,0,3,4,forest_14,1,memory-2step-stake-s,525,1147255,0.0-18.0-0.0-0.30,4071,4,3
31,2,object_10,object_07,1019.1,4,1,586.225,0.6666666666666666,2,object_05,5,179,0,3,6,forest_9,1,memory-2step-stake-s,526,1155685,0.0-18.0-0.0-0.31,4071,4,3
