,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,2,object_05,object_01,883.05,4,2,505.43,0.0,2,object_02,1,0,0,8,0,forest_2,1,memory-2step-stake-s,501,883210,0.0-18.0-0.0-0.0,3688,3,4
1,1,object_03,object_08,879.8150001,2,1,822.135,0.6666666666666666,2,object_02,1,6,0,6,6,desert_19,1,memory-2step-stake-s,502,891928,0.0-18.0-0.0-0.1,3688,2,1
2,4,object_04,object_07,713.875,8,2,471.01,0.5555555555555556,2,object_02,5,31,0,5,5,restaurant_4,1,memory-2step-stake-s,503,900201,0.0-18.0-0.0-0.2,3688,7,8
3,4,object_04,object_07,-1.0,-1,-1,-1.0,0.0,-,,5,31,0,6,9,restaurant_8,1,memory-2step-stake-s,504,906752,0.0-18.0-0.0-0.3,3688,7,8
4,2,object_01,object_05,613.035,4,1,733.88,0.5555555555555556,2,object_02,1,36,0,4,5,forest_9,1,memory-2step-stake-s,505,915294,0.0-18.0-0.0-0.4,3688,4,3
5,1,object_08,object_03,627.385,2,2,588.87,0.7777777777777778,2,object_02,1,43,0,1,7,desert_6,1,memory-2step-stake-s,506,923904,0.0-18.0-0.0-0.5,3688,1,2
6,4,object_07,object_04,847.38,8,1,448.845,0.8888888888888888,2,object_02,5,83,0,2,8,restaurant_1,1,memory-2step-stake-s,507,932435,0.0-18.0-0.0-0.6,3688,8,7
7,4,object_04,object_07,775.37,8,2,340.015,0.7777777777777778,2,object_02,5,118,0,5,7,restaurant_22,1,memory-2step-stake-s,508,940793,0.0-18.0-0.0-0.7,3688,7,8
8,3,object_06,object_09,864.925,6,2,429.74,0.4444444444444444,2,object_02,5,138,0,4,4,library_7,1,memory-2step-stake-s,509,948913,0.0-18.0-0.0-0.8,3688,5,6
9,3,object_06,object_09,1054.09,5,1,444.55500010000003,0.6666666666666666,1,object_10,5,168,0,6,2,library_11,1,memory-2step-stake-s,510,957247,0.0-18.0-0.0-0.9,3688,5,6
10,1,object_03,object_08,-1.0,-1,-1,-1.0,0.0,-,,5,168,0,9,2,desert_19,1,memory-2step-stake-s,511,963799,0.0-18.0-0.0-0.10,3688,2,1
11,4,object_07,object_04,490.735,8,1,369.53,0.3333333333333333,2,object_02,5,183,0,9,3,restaurant_31,1,memory-2step-stake-s,512,971779,0.0-18.0-0.0-0.11,3688,8,7
12,1,object_03,object_08,872.97,1,2,354.145,0.8888888888888888,1,object_10,1,191,0,8,5,desert_7,1,memory-2step-stake-s,513,980255,0.0-18.0-0.0-0.12,3688,2,1
13,4,object_04,object_07,745.975,8,2,115.57,0.4444444444444444,2,object_02,5,211,0,8,4,restaurant_19,1,memory-2step-stake-s,514,988068,0.0-18.0-0.0-0.13,3688,7,8
14,3,object_09,object_06,712.495,5,2,451.82,0.8888888888888888,1,object_10,5,251,0,8,2,library_16,1,memory-2step-stake-s,515,996629,0.0-18.0-0.0-0.14,3688,6,5
15,3,object_09,object_06,755.66,5,2,300.905,0.6666666666666666,1,object_10,5,281,0,6,1,library_11,1,memory-2step-stake-s,516,1004838,0.0-18.0-0.0-0.15,3688,6,5
16,4,object_07,object_04,613.42,8,1,206.835,0.2222222222222222,2,object_02,5,291,0,6,2,restaurant_20,1,memory-2step-stake-s,517,1012511,0.0-18.0-0.0-0.16,3688,8,7
17,3,object_09,object_06,731.105,5,2,262.305,0.4444444444444444,1,object_10,5,311,0,4,7,library_11,1,memory-2step-stake-s,518,1020472,0.0-18.0-0.0-0.17,3688,6,5
18,1,object_03,object_08,648.145,2,1,229.875,0.6666666666666666,2,object_02,1,317,0,2,6,desert_27,1,memory-2step-stake-s,519,1028602,0.0-18.0-0.0-0.18,3688,2,1
19,3,object_06,object_09,635.31,6,2,369.005,0.7777777777777778,2,object_02,5,352,0,4,7,library_31,1,memory-2step-stake-s,520,1036971,0.0-18.0-0.0-0.19,3688,5,6
20,4,object_07,object_04,571.495,8,1,363.48,0.4444444444444444,2,object_02,5,372,0,6,4,restaurant_24,1,memory-2step-stake-s,521,1045033,0.0-18.0-0.0-0.20,3688,8,7
21,3,object_06,object_09,604.97,6,2,287.36,0.5555555555555556,2,object_02,5,397,0,8,5,library_20,1,memory-2step-stake-s,522,1053101,0.0-18.0-0.0-0.21,3688,5,6
22,2,object_01,object_05,591.21,4,1,468.985,0.4444444444444444,2,object_02,1,401,0,6,4,forest_29,1,memory-2step-stake-s,523,1061258,0.0-18.0-0.0-0.22,3688,4,3
23,4,object_07,object_04,1165.07,7,2,320.79,0.6666666666666666,1,object_10,5,431,0,6,3,restaurant_14,1,memory-2step-stake-s,524,1069469,0.0-18.0-0.0-0.23,3688,8,7
24,2,object_01,object_05,631.575,3,2,88.37999997,0.8888888888888888,1,object_10,1,439,0,8,1,forest_4,1,memory-2step-stake-s,525,1077668,0.0-18.0-0.0-0.24,3688,4,3
25,3,object_09,object_06,686.955,6,1,33.605,0.2222222222222222,2,object_02,5,449,0,7,2,library_16,1,memory-2step-stake-s,526,1085169,0.0-18.0-0.0-0.25,3688,6,5
26,2,object_05,object_01,616.295,4,2,11.145,0.1111111111111111,2,object_02,1,450,0,3,1,forest_21,1,memory-2step-stake-s,527,1092555,0.0-18.0-0.0-0.26,3688,3,4
27,4,object_07,object_04,674.775,7,2,224.685,0.1111111111111111,1,object_10,5,455,0,1,2,restaurant_17,1,memory-2step-stake-s,528,1100149,0.0-18.0-0.0-0.27,3688,8,7
