,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,4,object_01,object_10,915.585,8,2,731.98,0.7777777777777778,2,object_02,1,7,0,0,7,restaurant_8,1,memory-2step-stake-s,492,1809424,0.0-18.0-0.0-0.0,2815,7,8
1,1,object_04,object_07,942.87,2,1,868.29,0.8888888888888888,2,object_02,1,15,0,2,8,desert_2,1,memory-2step-stake-s,493,1818416,0.0-18.0-0.0-0.1,2815,2,1
2,3,object_08,object_05,1210.015,5,2,816.345,0.1111111111111111,1,object_06,5,20,0,1,9,library_20,1,memory-2step-stake-s,494,1826594,0.0-18.0-0.0-0.2,2815,6,5
3,1,object_04,object_07,987.13,1,2,865.21,0.0,1,object_06,1,20,0,0,7,desert_30,1,memory-2step-stake-s,495,1834706,0.0-18.0-0.0-0.3,2815,2,1
4,3,object_05,object_08,1183.875,5,1,778.015,0.4444444444444444,1,object_06,5,40,0,4,4,library_18,1,memory-2step-stake-s,496,1843167,0.0-18.0-0.0-0.4,2815,5,6
5,3,object_08,object_05,-1.0,-1,-1,-1.0,0.0,-,,5,40,0,3,2,library_5,1,memory-2step-stake-s,497,1849706,0.0-18.0-0.0-0.5,2815,6,5
6,3,object_08,object_05,438.075,5,2,457.195,0.5555555555555556,1,object_06,1,45,0,5,2,library_30,1,memory-2step-stake-s,498,1857949,0.0-18.0-0.0-0.6,2815,6,5
7,2,object_03,object_09,705.36,4,1,605.65,0.2222222222222222,2,object_02,1,47,0,3,2,forest_25,1,memory-2step-stake-s,499,1866016,0.0-18.0-0.0-0.7,2815,4,3
8,2,object_03,object_09,637.88,4,1,590.115,0.3333333333333333,2,object_02,1,50,0,4,3,forest_1,1,memory-2step-stake-s,500,1874214,0.0-18.0-0.0-0.8,2815,4,3
9,1,object_07,object_04,836.85,2,2,481.2,0.1111111111111111,2,object_02,1,51,0,4,1,desert_13,1,memory-2step-stake-s,501,1882072,0.0-18.0-0.0-0.9,2815,1,2
10,2,object_03,object_09,774.685,4,1,417.165,0.2222222222222222,2,object_02,1,53,0,5,2,forest_13,1,memory-2step-stake-s,502,1889959,0.0-18.0-0.0-0.10,2815,4,3
11,1,object_04,object_07,713.24,2,1,640.575,0.1111111111111111,2,object_02,1,54,0,7,1,desert_23,1,memory-2step-stake-s,503,1897972,0.0-18.0-0.0-0.11,2815,2,1
12,3,object_08,object_05,920.68,6,1,431.335,0.1111111111111111,2,object_02,5,59,0,8,1,library_9,1,memory-2step-stake-s,504,1905769,0.0-18.0-0.0-0.12,2815,6,5
13,1,object_04,object_07,938.495,1,2,609.1,0.8888888888888888,1,object_06,5,99,0,8,1,desert_6,1,memory-2step-stake-s,505,1914455,0.0-18.0-0.0-0.13,2815,2,1
14,4,object_01,object_10,800.35,7,1,490.25,0.8888888888888888,1,object_06,5,139,0,8,3,restaurant_15,1,memory-2step-stake-s,506,1923065,0.0-18.0-0.0-0.14,2815,7,8
15,3,object_05,object_08,-1.0,-1,-1,-1.0,0.0,-,,1,139,0,8,4,library_21,1,memory-2step-stake-s,507,1929611,0.0-18.0-0.0-0.15,2815,5,6
16,1,object_04,object_07,585.125,1,2,417.32,0.3333333333333333,1,object_06,5,154,0,3,4,desert_10,1,memory-2step-stake-s,508,1937618,0.0-18.0-0.0-0.16,2815,2,1
17,2,object_09,object_03,672.455,3,1,434.255,0.6666666666666666,1,object_06,1,160,0,6,7,forest_6,1,memory-2step-stake-s,509,1945962,0.0-18.0-0.0-0.17,2815,3,4
18,2,object_03,object_09,940.05,3,2,931.665,1.0,1,object_06,1,169,0,9,8,forest_28,1,memory-2step-stake-s,510,1955079,0.0-18.0-0.0-0.18,2815,4,3
19,2,object_09,object_03,789.24,3,1,624.24,0.8888888888888888,1,object_06,1,177,0,8,9,forest_10,1,memory-2step-stake-s,511,1963792,0.0-18.0-0.0-0.19,2815,3,4
20,2,object_03,object_09,767.53,4,1,769.775,0.8888888888888888,2,object_02,1,185,0,5,8,forest_13,1,memory-2step-stake-s,512,1972652,0.0-18.0-0.0-0.20,2815,4,3
21,3,object_05,object_08,605.835,6,2,388.375,0.8888888888888888,2,object_02,5,225,0,2,8,library_30,1,memory-2step-stake-s,513,1981093,0.0-18.0-0.0-0.21,2815,5,6
22,3,object_08,object_05,798.045,5,2,376.84,0.3333333333333333,1,object_06,5,240,0,3,6,library_29,1,memory-2step-stake-s,514,1989027,0.0-18.0-0.0-0.22,2815,6,5
23,1,object_04,object_07,905.08,2,1,427.12,0.4444444444444444,2,object_02,1,244,0,3,4,desert_22,1,memory-2step-stake-s,515,1997110,0.0-18.0-0.0-0.23,2815,2,1
24,2,object_09,object_03,287.8,4,2,408.84,0.5555555555555556,2,object_02,1,249,0,0,5,forest_16,1,memory-2step-stake-s,516,2005280,0.0-18.0-0.0-0.24,2815,3,4
