,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,1,object_03,object_09,-1.0,-1,-1,-1.0,0.0,-,,1,0,0,2,1,desert_15,1,memory-2step-stake-s,2883,10658549,0.0-18.0-0.0-0.0,4452,1,2
1,3,object_06,object_02,524.0,6,1,-1.0,0.0,2,object_10,1,0,0,3,4,library_22,1,memory-2step-stake-s,2884,10667075,0.0-18.0-0.0-0.1,4452,6,5
2,2,object_07,object_01,505.0,4,2,393.0,0.3333333333333333,2,object_10,1,3,0,0,3,forest_4,1,memory-2step-stake-s,2885,10674999,0.0-18.0-0.0-0.2,4452,3,4
3,2,object_01,object_07,681.0,3,2,767.0,0.1111111111111111,1,object_04,1,4,0,1,3,forest_1,1,memory-2step-stake-s,2886,10683088,0.0-18.0-0.0-0.3,4452,4,3
4,4,object_05,object_08,755.0,8,2,1077.0,0.5555555555555556,2,object_10,5,29,0,4,5,restaurant_2,1,memory-2step-stake-s,2887,10691900,0.0-18.0-0.0-0.4,4452,7,8
5,4,object_05,object_08,550.0,7,1,864.0,0.4444444444444444,1,object_04,5,49,0,4,4,restaurant_4,1,memory-2step-stake-s,2888,10700401,0.0-18.0-0.0-0.5,4452,7,8
6,4,object_08,object_05,1000.0,7,2,649.0,0.4444444444444444,1,object_04,5,69,0,4,4,restaurant_16,1,memory-2step-stake-s,2889,10708675,0.0-18.0-0.0-0.6,4452,8,7
7,3,object_02,object_06,577.0,6,2,657.0,0.6666666666666666,2,object_10,5,99,0,1,6,library_12,1,memory-2step-stake-s,2890,10717166,0.0-18.0-0.0-0.7,4452,5,6
8,2,object_07,object_01,835.0,3,1,631.0,0.0,1,object_04,5,99,0,0,9,forest_18,1,memory-2step-stake-s,2891,10725020,0.0-18.0-0.0-0.8,4452,3,4
9,4,object_08,object_05,478.0,7,2,512.0,0.2222222222222222,1,object_04,1,101,0,2,7,restaurant_2,1,memory-2step-stake-s,2892,10732956,0.0-18.0-0.0-0.9,4452,8,7
10,3,object_06,object_02,669.0,6,1,588.0,0.6666666666666666,2,object_10,5,131,0,0,6,library_3,1,memory-2step-stake-s,2893,10741375,0.0-18.0-0.0-0.10,4452,6,5
11,3,object_06,object_02,1115.0,6,1,555.0,0.8888888888888888,2,object_10,1,139,0,3,8,library_4,1,memory-2step-stake-s,2894,10749970,0.0-18.0-0.0-0.11,4452,6,5
12,3,object_02,object_06,694.0,6,2,911.0,0.8888888888888888,2,object_10,5,179,0,4,8,library_12,1,memory-2step-stake-s,2895,10758918,0.0-18.0-0.0-0.12,4452,5,6
13,4,object_05,object_08,1290.0,8,2,669.0,0.6666666666666666,2,object_10,5,209,0,6,6,restaurant_31,1,memory-2step-stake-s,2896,10767415,0.0-18.0-0.0-0.13,4452,7,8
14,3,object_02,object_06,757.0,6,2,393.0,0.5555555555555556,2,object_10,5,234,0,5,5,library_14,1,memory-2step-stake-s,2897,10775538,0.0-18.0-0.0-0.14,4452,5,6
15,2,object_07,object_01,1298.0,3,1,505.0,0.3333333333333333,1,object_04,5,249,0,3,7,forest_23,1,memory-2step-stake-s,2898,10783564,0.0-18.0-0.0-0.15,4452,3,4
16,1,object_03,object_09,585.0,2,2,475.0,0.5555555555555556,2,object_10,1,254,0,5,5,desert_2,1,memory-2step-stake-s,2899,10791770,0.0-18.0-0.0-0.16,4452,1,2
17,3,object_06,object_02,734.0,6,1,433.0,0.5555555555555556,2,object_10,5,279,0,5,5,library_14,1,memory-2step-stake-s,2900,10799938,0.0-18.0-0.0-0.17,4452,6,5
18,1,object_03,object_09,673.0,2,2,472.0,0.6666666666666666,2,object_10,1,285,0,4,6,desert_2,1,memory-2step-stake-s,2901,10808242,0.0-18.0-0.0-0.18,4452,1,2
19,2,object_01,object_07,613.0,3,2,567.0,0.6666666666666666,1,object_04,5,315,0,6,8,forest_30,1,memory-2step-stake-s,2902,10816659,0.0-18.0-0.0-0.19,4452,4,3
20,3,object_02,object_06,698.0,6,2,380.0,0.8888888888888888,2,object_10,5,355,0,5,8,library_32,1,memory-2step-stake-s,2903,10825092,0.0-18.0-0.0-0.20,4452,5,6
21,4,object_08,object_05,1099.0,8,1,492.0,0.8888888888888888,2,object_10,5,395,0,8,8,restaurant_5,1,memory-2step-stake-s,2904,10833625,0.0-18.0-0.0-0.21,4452,8,7
22,4,object_05,object_08,1137.0,8,2,555.0,0.8888888888888888,2,object_10,5,435,0,6,8,restaurant_19,1,memory-2step-stake-s,2905,10842221,0.0-18.0-0.0-0.22,4452,7,8
23,2,object_07,object_01,571.0,3,1,545.0,0.6666666666666666,1,object_04,1,441,0,6,9,forest_32,1,memory-2step-stake-s,2906,10850605,0.0-18.0-0.0-0.23,4452,3,4
24,2,object_07,object_01,599.0,3,1,-1.0,0.0,1,object_04,1,441,0,8,7,forest_18,1,memory-2step-stake-s,2907,10859124,0.0-18.0-0.0-0.24,4452,3,4
25,4,object_05,object_08,-1.0,-1,-1,-1.0,0.0,-,,5,441,0,7,7,restaurant_21,1,memory-2step-stake-s,2908,10865642,0.0-18.0-0.0-0.25,4452,7,8
26,3,object_06,object_02,551.0,6,1,481.0,0.5555555555555556,2,object_10,5,466,0,7,5,library_30,1,memory-2step-stake-s,2909,10873852,0.0-18.0-0.0-0.26,4452,6,5
27,2,object_07,object_01,719.0,3,1,674.0,0.8888888888888888,1,object_04,1,474,0,8,4,forest_18,1,memory-2step-stake-s,2910,10882566,0.0-18.0-0.0-0.27,4452,3,4
28,2,object_01,object_07,678.0,3,2,715.0,1.0,1,object_04,1,483,0,9,4,forest_16,1,memory-2step-stake-s,2911,10891419,0.0-18.0-0.0-0.28,4452,4,3
29,3,object_02,object_06,460.0,6,2,1056.0,0.4444444444444444,2,object_10,5,503,0,9,4,library_2,1,memory-2step-stake-s,2912,10900107,0.0-18.0-0.0-0.29,4452,5,6
30,1,object_09,object_03,1023.0,1,2,457.0,0.7777777777777778,1,object_04,1,510,0,7,5,desert_26,1,memory-2step-stake-s,2913,10908501,0.0-18.0-0.0-0.30,4452,2,1
31,3,object_06,object_02,712.0,6,1,583.0,0.8888888888888888,2,object_10,1,518,0,9,8,library_16,1,memory-2step-stake-s,2914,10917123,0.0-18.0-0.0-0.31,4452,6,5
32,4,object_08,object_05,727.0,8,1,503.0,0.7777777777777778,2,object_10,1,525,0,6,7,restaurant_29,1,memory-2step-stake-s,2915,10925556,0.0-18.0-0.0-0.32,4452,8,7
33,2,object_07,object_01,-1.0,-1,-1,-1.0,0.0,-,,1,525,0,8,9,forest_16,1,memory-2step-stake-s,2916,10932071,0.0-18.0-0.0-0.33,4452,3,4
