,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
243,4,object_09,object_08,1151.995,7,2,1070.035,0.5555555555555556,1,object_03,5,3524,0,5,8,restaurant_2,1,memory-2step-stake-s,732,3388392,0.0-18.0-0.1-0.243,1846,8,7
244,1,object_05,object_02,1076.42,1,1,608.375,0.7777777777777778,1,object_03,1,3531,0,7,6,desert_29,1,memory-2step-stake-s,733,3396959,0.0-18.0-0.1-0.244,1846,1,2
245,4,object_09,object_08,1476.91,7,2,604.675,0.7777777777777778,1,object_03,5,3566,0,7,7,restaurant_31,1,memory-2step-stake-s,734,3405511,0.0-18.0-0.1-0.245,1846,8,7
246,2,object_10,object_07,1393.22,3,2,889.425,1.0,1,object_03,1,3575,0,9,5,forest_16,1,memory-2step-stake-s,735,3414559,0.0-18.0-0.1-0.246,1846,4,3
247,1,object_05,object_02,1062.81,1,1,703.82,1.0,1,object_03,1,3584,0,9,5,desert_15,1,memory-2step-stake-s,736,3423408,0.0-18.0-0.1-0.247,1846,1,2
248,1,object_02,object_05,1302.11,1,2,645.72,0.8888888888888888,1,object_03,1,3592,0,8,8,desert_30,1,memory-2step-stake-s,737,3432106,0.0-18.0-0.1-0.248,1846,2,1
249,3,object_01,object_06,975.025,5,2,525.315,0.8888888888888888,1,object_03,5,3632,0,8,8,library_17,1,memory-2step-stake-s,738,3440681,0.0-18.0-0.1-0.249,1846,6,5
250,4,object_08,object_09,1103.86,7,1,492.065,0.7777777777777778,1,object_03,5,3667,0,7,8,restaurant_24,1,memory-2step-stake-s,739,3449134,0.0-18.0-0.1-0.250,1846,7,8
251,4,object_08,object_09,1237.67,7,1,550.495,0.7777777777777778,1,object_03,5,3702,0,7,6,restaurant_16,1,memory-2step-stake-s,740,3457653,0.0-18.0-0.1-0.251,1846,7,8
252,3,object_06,object_01,1141.6,5,1,577.81,0.6666666666666666,1,object_03,5,3732,0,6,9,library_27,1,memory-2step-stake-s,741,3466101,0.0-18.0-0.1-0.252,1846,5,6
253,2,object_07,object_10,982.395,3,1,419.855,0.7777777777777778,1,object_03,1,3739,0,7,8,forest_13,1,memory-2step-stake-s,742,3474483,0.0-18.0-0.1-0.253,1846,3,4
254,3,object_01,object_06,1031.065,5,2,874.77,0.4444444444444444,1,object_03,5,3759,0,4,7,library_30,1,memory-2step-stake-s,743,3483002,0.0-18.0-0.1-0.254,1846,6,5
255,1,object_05,object_02,1180.58,1,1,978.14,0.1111111111111111,1,object_03,1,3760,0,1,7,desert_26,1,memory-2step-stake-s,744,3491308,0.0-18.0-0.1-0.255,1846,1,2
