,state1,stim_left,stim_right,rt_1,choice1,response1,rt_2,points,state2,stim_state2,stake,score,practice,rews1,rews2,background,high_arm,trial_type,trial_index,time_elapsed,internal_node_id,subid,stim_left_num,stim_right_num
0,4,object_02,object_04,-1.0,-1,-1,-1.0,0.0,-,,1,0,0,1,7,restaurant_9,2,memory-2step-stake-s,494,1357254,0.0-18.0-0.0-0.0,4486,8,7
1,4,object_04,object_02,691.0900001,7,1,1434.8,0.1111111111111111,1,object_05,1,1,0,1,5,restaurant_10,2,memory-2step-stake-s,495,1366007,0.0-18.0-0.0-0.1,4486,7,8
2,3,object_08,object_06,856.7250001,5,2,1188.21,0.2222222222222222,1,object_05,1,3,0,2,2,library_23,2,memory-2step-stake-s,496,1374618,0.0-18.0-0.0-0.2,4486,6,5
3,3,object_06,object_08,1140.025,5,1,638.055,0.1111111111111111,1,object_05,1,4,0,1,2,library_12,2,memory-2step-stake-s,497,1382573,0.0-18.0-0.0-0.3,4486,5,6
4,2,object_07,object_03,846.97,3,2,1398.435,0.1111111111111111,1,object_05,5,9,0,1,0,forest_19,2,memory-2step-stake-s,498,1391289,0.0-18.0-0.0-0.4,4486,4,3
5,4,object_04,object_02,793.62,8,2,933.085,0.2222222222222222,2,object_01,5,19,0,2,2,restaurant_15,2,memory-2step-stake-s,499,1399641,0.0-18.0-0.0-0.5,4486,7,8
6,1,object_09,object_10,1000.92,2,1,886.0899999,0.2222222222222222,2,object_01,5,29,0,1,2,desert_26,2,memory-2step-stake-s,500,1407949,0.0-18.0-0.0-0.6,4486,2,1
7,4,object_04,object_02,915.605,7,1,367.89,0.1111111111111111,1,object_05,1,30,0,1,1,restaurant_9,2,memory-2step-stake-s,501,1415633,0.0-18.0-0.0-0.7,4486,7,8
8,4,object_04,object_02,649.595,8,2,738.2199999,0.4444444444444444,2,object_01,5,50,0,2,4,restaurant_30,2,memory-2step-stake-s,502,1423989,0.0-18.0-0.0-0.8,4486,7,8
9,3,object_08,object_06,903.14,6,1,780.29,0.5555555555555556,2,object_01,1,55,0,3,5,library_4,2,memory-2step-stake-s,503,1432492,0.0-18.0-0.0-0.9,4486,6,5
10,1,object_09,object_10,1379.435,2,1,855.355,0.4444444444444444,2,object_01,5,75,0,0,4,desert_7,2,memory-2step-stake-s,504,1440970,0.0-18.0-0.0-0.10,4486,2,1
11,4,object_02,object_04,1265.405,7,2,432.525,0.2222222222222222,1,object_05,1,77,0,2,5,restaurant_12,2,memory-2step-stake-s,505,1448818,0.0-18.0-0.0-0.11,4486,8,7
12,1,object_09,object_10,681.895,2,1,350.065,0.6666666666666666,2,object_01,5,107,0,2,6,desert_25,2,memory-2step-stake-s,506,1456995,0.0-18.0-0.0-0.12,4486,2,1
13,2,object_07,object_03,1431.93,3,2,637.455,0.1111111111111111,1,object_05,5,112,0,1,9,forest_10,2,memory-2step-stake-s,507,1464951,0.0-18.0-0.0-0.13,4486,4,3
14,2,object_03,object_07,1205.635,3,1,684.025,0.1111111111111111,1,object_05,5,117,0,1,5,forest_20,2,memory-2step-stake-s,508,1472955,0.0-18.0-0.0-0.14,4486,3,4
15,3,object_06,object_08,-1.0,-1,-1,-1.0,0.0,-,,1,117,0,0,5,library_32,2,memory-2step-stake-s,509,1479467,0.0-18.0-0.0-0.15,4486,5,6
16,4,object_04,object_02,678.37,7,1,334.99,0.0,1,object_05,1,117,0,0,2,restaurant_12,2,memory-2step-stake-s,510,1487020,0.0-18.0-0.0-0.16,4486,7,8
